corpus_id;sentence_position;position;value
1;1;1;D'
1;1;2;grìene
1;1;3;Lìnse
1;1;4;12
1;1;5;Stùnde
1;1;6;làng
1;1;7;inweiche
1;1;8;lon
1;1;9;.
1;2;1;'s
1;2;1;Gemìes
1;2;2;ìn
1;2;3;kleini
1;2;4;Vìereck
1;2;5;odder
1;2;6;Drejeck
1;2;7;schniide
1;2;8;.
1;3;1;Sie
1;3;1;ìm
1;3;2;Bùtter
1;3;3;schwìtze
1;3;4;lon
1;3;5;,
1;3;6;dànn
1;3;7;d'
1;3;8;Lìnse
1;3;9;dezügenn
1;3;10;.
1;4;1;Ànderthàlb
1;4;1;sovìel
1;4;2;Wàsser
1;4;3;dezüschìtte
1;4;4;ùn
1;4;5;e
1;4;6;Stùnd
1;4;7;làng
1;4;8;kechle
1;4;9;lon
1;4;10;.
1;5;1;De
1;5;1;Làchs
1;5;2;rìschte
1;5;3;ùn
1;5;4;e
1;5;5;Träschel
1;5;6;geraicherter
1;5;7;Speck
1;5;8;ùm
1;5;9;jedes
1;5;10;Filee
1;5;11;rùmwìckle
1;5;12;.
1;6;1;De
1;6;1;Rahm
1;6;2;gùssàrtig
1;6;3;inkoche
1;6;4;lon
1;6;5;.
1;7;1;Mìt
1;7;1;Meerretti
1;7;2;,
1;7;3;Sàlz
1;7;4;ùn
1;7;5;Pfeffer
1;7;6;üss
1;7;7;de
1;7;8;Mìehl
1;7;9;ànmàche
1;7;10;.
1;8;1;D'
1;8;1;gespìckte
1;8;2;Làchsfilee
1;8;3;3
1;8;4;Minüte
1;8;5;làng
1;8;6;ànbrote
1;8;7;.
1;9;1;Ùf
1;9;1;e
1;9;2;Grìeni-Lìnse
1;9;3;Bett
1;9;4;leje
1;9;5;ùn
1;9;6;d'
1;9;7;Sauce
1;9;8;drùm
1;9;9;erùm
1;9;10;nàppìere
1;9;11;.
1;10;1;Mìteme
1;10;1;bìssele
1;10;2;Kerwelskrüt
1;10;3;,
1;10;4;Tomàte-Wìrfel
1;10;5;ùn
1;10;6;zwei
1;10;7;Gemìes-Strissle
1;10;8;denäwe
1;10;9;zìere
1;10;10;.
1;11;1;D'
1;11;1;Spàrichle
1;11;2;schäle
1;11;3;ùn
1;11;4;d'
1;11;5;grìene
1;11;6;Spìtze
1;11;7;sowie
1;11;8;'s
1;11;9;zàrte
1;11;10;Teil
1;11;11;vùm
1;11;12;Stìel
1;11;13;bhàlte
1;11;14;.
1;12;1;Se
1;12;1;wäsche
1;12;2;ùn
1;12;3;se
1;12;4;ìn
1;12;5;2
1;12;6;cm-làngi
1;12;7;Stìckle
1;12;8;schniide
1;12;9;.
1;13;1;D'
1;13;1;Spàrichle
1;13;2;ìn
1;13;3;e
1;13;4;Sìbb
1;13;5;üss
1;13;6;Metàll
1;13;7;màche
1;13;8;ùn
1;13;9;àlles
1;13;10;zàmme
1;13;11;5
1;13;12;Minüte
1;13;13;làng
1;13;14;ìn
1;13;15;kochendem
1;13;16;Sàlzwàsser
1;13;17;àbkoche
1;13;18;.
1;14;1;Se
1;14;1;àbtropfe
1;14;2;lon
1;14;3;,
1;14;4;àbkìehle
1;14;5;,
1;14;6;wìdder
1;14;7;àbtropfe
1;14;8;lon
1;14;9;.
1;15;1;Ìnere
1;15;1;Form
1;15;2;'s
1;15;3;Mëhl
1;15;4;mìt
1;15;5;de
1;15;6;Eier
1;15;7;beàrweite
1;15;8;,
1;15;9;mìt
