corpus_name;sentence_position;position;value
corpus_ADJ;1;1;Alls
corpus_ADJ;1;2;besser
corpus_ADJ;1;3;!
corpus_ADJ;2;1;Fallt
corpus_ADJ;2;2;m'r
corpus_ADJ;2;3;nit
corpus_ADJ;2;4;in
corpus_ADJ;2;5;so
corpus_ADJ;2;6;hoch
corpus_ADJ;2;7;ze
corpus_ADJ;2;8;springe
corpus_ADJ;2;9;!
corpus_ADJ;3;1;O
corpus_ADJ;3;2;,
corpus_ADJ;3;3;wie
corpus_ADJ;3;4;bin
corpus_ADJ;3;5;ich
corpus_ADJ;3;6;unglüecklich
corpus_ADJ;3;7;!
corpus_ADJ;4;1;Charles
corpus_ADJ;4;2;,
corpus_ADJ;4;3;wenn
corpus_ADJ;4;4;du
corpus_ADJ;4;5;wüescht
corpus_ADJ;4;6;,
corpus_ADJ;4;7;wie
corpus_ADJ;4;8;ich
corpus_ADJ;4;9;dich
corpus_ADJ;4;10;gern
corpus_ADJ;4;11;hab
corpus_ADJ;4;12;!
corpus_ADJ;5;1;D'
corpus_ADJ;5;2;grìene
corpus_ADJ;5;3;Lìnse
corpus_ADJ;5;4;12
corpus_ADJ;5;5;Stùnde
corpus_ADJ;5;6;làng
corpus_ADJ;5;7;inweiche
corpus_ADJ;5;8;lon
corpus_ADJ;5;9;.
corpus_ADJ;6;1;'s
corpus_ADJ;6;2;Gemìes
corpus_ADJ;6;3;ìn
corpus_ADJ;6;4;kleini
corpus_ADJ;6;5;Vìereck
corpus_ADJ;6;6;odder
corpus_ADJ;6;7;Drejeck
corpus_ADJ;6;8;schniide
corpus_ADJ;6;9;.
corpus_ADJ;7;1;Si
corpus_ADJ;7;2;ältschta
corpus_ADJ;7;3;bekànnta
corpus_ADJ;7;4;Druckwark
corpus_ADJ;7;5;ìsch
corpus_ADJ;7;6;a
corpus_ADJ;7;7;làtiinischa
corpus_ADJ;7;8;Bibel
corpus_ADJ;7;9;ìn
corpus_ADJ;7;10;49
corpus_ADJ;7;11;Ziila
corpus_ADJ;7;12;(
corpus_ADJ;7;13;„
corpus_ADJ;7;14;B49
corpus_ADJ;7;15;“
corpus_ADJ;7;16;dr
corpus_ADJ;7;17;erscht
corpus_ADJ;7;18;Bànd
corpus_ADJ;7;19;ìsch
corpus_ADJ;7;20;vum
corpus_ADJ;7;21;Johr
corpus_ADJ;7;22;1460
corpus_ADJ;7;23;.
corpus_ADJ;7;24;)
corpus_ADJ;8;1;Ànna
corpus_ADJ;8;2;1466
corpus_ADJ;8;3;hàt
corpus_ADJ;8;4;'r
corpus_ADJ;8;5;sìch
corpus_ADJ;8;6;sogàr
corpus_ADJ;8;7;a
corpus_ADJ;8;8;Wàppa
corpus_ADJ;8;9;loo
corpus_ADJ;8;10;màcha
corpus_ADJ;8;11;.
