corpus_name;sentence_position;word_position;value;postag_name;confidence_score;tagger
corpus_ADP;1;1;Zwìscha;ADP;100;training
corpus_ADP;1;2;1969;NUM;100;training
corpus_ADP;1;3;un;CONJ;100;training
corpus_ADP;1;4;1985;NUM;100;training
corpus_ADP;1;5;hàt;AUX;100;training
corpus_ADP;1;6;dr;ADP;100;training
corpus_ADP;1;7;Verwàlter;NOUN;100;training
corpus_ADP;1;8;Georges;PROPN;100;training
corpus_ADP;1;9;Klein;PROPN;100;training
corpus_ADP;1;10;Üstellunga;NOUN;100;training
corpus_ADP;1;11;ìwer;ADP;100;training
corpus_ADP;1;12;verschìedena;ADJ;100;training
corpus_ADP;1;13;Thema;NOUN;100;training
corpus_ADP;1;14;ufbàuia;VERB;100;training
corpus_ADP;1;15;.;PUNCT;100;training
corpus_ADP;2;1;Ar;PRON;100;training
corpus_ADP;2;2;hàt;AUX;100;training
corpus_ADP;2;3;d;DET;100;training
corpus_ADP;2;4;Entwìcklung;NOUN;100;training
corpus_ADP;2;5;vum;ADP;100;training
corpus_ADP;2;6;Museum;NOUN;100;training
corpus_ADP;2;7;ìn;ADP;100;training
corpus_ADP;2;8;da;DET;100;training
corpus_ADP;2;9;zwei;NUM;100;training
corpus_ADP;2;10;Gebäi;NOUN;100;training
corpus_ADP;2;11;nawadràà;ADV;100;training
corpus_ADP;2;12;gfiahrt;VERB;100;training
corpus_ADP;2;13;un;CONJ;100;training
corpus_ADP;2;14;nèia;ADJ;100;training
corpus_ADP;2;15;Saal;NOUN;100;training
corpus_ADP;2;16;ufgstellt;VERB;100;training
corpus_ADP;2;17;.;PUNCT;100;training
corpus_ADP;3;1;Mìt;ADP;100;training
corpus_ADP;3;2;Meerretti;NOUN;100;training
corpus_ADP;3;3;,;PUNCT;100;training
corpus_ADP;3;4;Sàlz;NOUN;100;training
corpus_ADP;3;5;ùn;CONJ;100;training
corpus_ADP;3;6;Pfeffer;NOUN;100;training
corpus_ADP;3;7;üss;ADP;100;training
corpus_ADP;3;8;de;DET;100;training
corpus_ADP;3;9;Mìehl;NOUN;100;training
corpus_ADP;3;10;ànmàche;VERB;100;training
corpus_ADP;3;11;.;PUNCT;100;training
corpus_ADP;4;1;Noh;ADP;100;training
corpus_ADP;4;2;ebbena;ADV;100;training
corpus_ADP;4;3;20;NUM;100;training
corpus_ADP;4;4;Johr;NOUN;100;training
corpus_ADP;4;5;Büechdruckarèi;NOUN;100;training
corpus_ADP;4;6;ìsch;AUX;100;training
corpus_ADP;4;7;Mentelin;PROPN;100;training
corpus_ADP;4;8;àm;ADP;100;training
corpus_ADP;4;9;12.;NUM;100;training
corpus_ADP;4;10;Dezamber;NOUN;100;training
corpus_ADP;4;11;1478;NUM;100;training
corpus_ADP;4;12;z';ADP;100;training
corpus_ADP;4;13;Stroßburri;PROPN;100;training
corpus_ADP;4;14;gstorwa;VERB;100;training
corpus_ADP;4;15;.;PUNCT;100;training
corpus_ADP;5;1;Bsundersch;ADV;100;training
corpus_ADP;5;2;ìntressànt;ADJ;100;training
corpus_ADP;5;3;ànna;ADP;100;training
corpus_ADP;5;4;si;DET;100;training
corpus_ADP;5;5;Druck;NOUN;100;training
corpus_ADP;5;6;vu;ADP;100;training
corpus_ADP;5;7;dr;DET;100;training
corpus_ADP;5;8;„;PUNCT;100;training
corpus_ADP;5;9;Mentelin-Bibel;PROPN;100;training
corpus_ADP;5;10;ìn;ADP;100;training
corpus_ADP;5;11;àlso;ADV;100;training
corpus_ADP;5;12;ìn'ra;ADP;100;training
corpus_ADP;5;13;Volkssproch;NOUN;100;training
