corpus_name;sentence_position;position;value
corpus_ADP;1;1;Zwìscha
corpus_ADP;1;2;1969
corpus_ADP;1;3;un
corpus_ADP;1;4;1985
corpus_ADP;1;5;hàt
corpus_ADP;1;6;dr
corpus_ADP;1;7;Verwàlter
corpus_ADP;1;8;Georges
corpus_ADP;1;9;Klein
corpus_ADP;1;10;Üstellunga
corpus_ADP;1;11;ìwer
corpus_ADP;1;12;verschìedena
corpus_ADP;1;13;Thema
corpus_ADP;1;14;ufbàuia
corpus_ADP;1;15;.
corpus_ADP;2;1;Ar
corpus_ADP;2;2;hàt
corpus_ADP;2;3;d
corpus_ADP;2;4;Entwìcklung
corpus_ADP;2;5;vum
corpus_ADP;2;6;Museum
corpus_ADP;2;7;ìn
corpus_ADP;2;8;da
corpus_ADP;2;9;zwei
corpus_ADP;2;10;Gebäi
corpus_ADP;2;11;nawadràà
corpus_ADP;2;12;gfiahrt
corpus_ADP;2;13;un
corpus_ADP;2;14;nèia
corpus_ADP;2;15;Saal
corpus_ADP;2;16;ufgstellt
corpus_ADP;2;17;.
corpus_ADP;3;1;Mìt
corpus_ADP;3;2;Meerretti
corpus_ADP;3;3;,
corpus_ADP;3;4;Sàlz
corpus_ADP;3;5;ùn
corpus_ADP;3;6;Pfeffer
corpus_ADP;3;7;üss
corpus_ADP;3;8;de
corpus_ADP;3;9;Mìehl
corpus_ADP;3;10;ànmàche
corpus_ADP;3;11;.
corpus_ADP;4;1;Noh
corpus_ADP;4;2;ebbena
corpus_ADP;4;3;20
corpus_ADP;4;4;Johr
corpus_ADP;4;5;Büechdruckarèi
corpus_ADP;4;6;ìsch
corpus_ADP;4;7;Mentelin
corpus_ADP;4;8;àm
corpus_ADP;4;9;12.
corpus_ADP;4;10;Dezamber
corpus_ADP;4;11;1478
corpus_ADP;4;12;z'
corpus_ADP;4;13;Stroßburri
corpus_ADP;4;14;gstorwa
corpus_ADP;4;15;.
corpus_ADP;5;1;Bsundersch
corpus_ADP;5;2;ìntressànt
corpus_ADP;5;3;ànna
corpus_ADP;5;4;si
corpus_ADP;5;5;Druck
corpus_ADP;5;6;vu
corpus_ADP;5;7;dr
corpus_ADP;5;8;„
corpus_ADP;5;9;Mentelin-Bibel
corpus_ADP;5;10;ìn
corpus_ADP;5;11;àlso
corpus_ADP;5;12;ìn'ra
corpus_ADP;5;13;Volkssproch
corpus_ADP;5;14;.
