corpus_name;sentence_position;position;value
corpus_ADV;1;1;Papa
corpus_ADV;1;2;niemols
corpus_ADV;1;3;!
corpus_ADV;2;1;Charles
corpus_ADV;2;2;,
corpus_ADV;2;3;ich
corpus_ADV;2;4;hab
corpus_ADV;2;5;dich
corpus_ADV;2;6;gar
corpus_ADV;2;7;nit
corpus_ADV;2;8;erüs
corpus_ADV;2;9;höre
corpus_ADV;2;10;kumme
corpus_ADV;2;11;.
corpus_ADV;3;1;Zwei
corpus_ADV;3;2;Sùppeleffel
corpus_ADV;3;3;Wisswin
corpus_ADV;3;4;dezügenn
corpus_ADV;3;5;ùn
corpus_ADV;3;6;wittersch
corpus_ADV;3;7;zuem
corpus_ADV;3;8;e
corpus_ADV;3;9;Schüm
corpus_ADV;3;10;schlaawe
corpus_ADV;3;11;.
corpus_ADV;4;1;Unn
corpus_ADV;4;2;ich
corpus_ADV;4;3;hab
corpus_ADV;4;4;hytt
corpus_ADV;4;5;de-n-
corpus_ADV;4;6;Entschluss
corpus_ADV;4;7;gfasst
corpus_ADV;4;8;,
corpus_ADV;4;9;nur
corpus_ADV;4;10;die
corpus_ADV;4;11;Frau
corpus_ADV;4;12;ze
corpus_ADV;4;13;hierothe
corpus_ADV;4;14;,
corpus_ADV;4;15;wie
corpus_ADV;4;16;mir
corpus_ADV;4;17;passt
corpus_ADV;4;18;.
corpus_ADV;5;1;Wenn
corpus_ADV;5;2;dàs
corpus_ADV;5;3;war
corpus_ADV;5;4;àlso
corpus_ADV;5;5;dr
corpus_ADV;5;6;Johannes
corpus_ADV;5;7;noch
corpus_ADV;5;8;vor
corpus_ADV;5;9;em
corpus_ADV;5;10;Heinrich
corpus_ADV;5;11;dr
corpus_ADV;5;12;erscht
corpus_ADV;5;13;Büechdrucker
corpus_ADV;5;14;vu
corpus_ADV;5;15;Stroßburri
corpus_ADV;5;16;gsìì
corpus_ADV;5;17;.
corpus_ADV;6;1;Dr
corpus_ADV;6;2;Eggestein
corpus_ADV;6;3;hàt
corpus_ADV;6;4;schiint
corpus_ADV;6;5;'s
corpus_ADV;6;6;sina
corpus_ADV;6;7;eigena
corpus_ADV;6;8;Offizin
corpus_ADV;6;9;erscht
corpus_ADV;6;10;ìn
corpus_ADV;6;11;dr
corpus_ADV;6;12;Mìttla
corpus_ADV;6;13;vu
corpus_ADV;6;14;da
corpus_ADV;6;15;1460.
corpus_ADV;6;16;Johra
corpus_ADV;6;17;igrìchta
corpus_ADV;6;18;.
