corpus_name;sentence_position;position;value
corpus_AUX;1;1;Wenn
corpus_AUX;1;2;dàs
corpus_AUX;1;3;war
corpus_AUX;1;4;àlso
corpus_AUX;1;5;dr
corpus_AUX;1;6;Johannes
corpus_AUX;1;7;noch
corpus_AUX;1;8;vor
corpus_AUX;1;9;em
corpus_AUX;1;10;Heinrich
corpus_AUX;1;11;dr
corpus_AUX;1;12;erscht
corpus_AUX;1;13;Büechdrucker
corpus_AUX;1;14;vu
corpus_AUX;1;15;Stroßburri
corpus_AUX;1;16;gsìì
corpus_AUX;1;17;.
corpus_AUX;2;1;S
corpus_AUX;2;2;Gschaft
corpus_AUX;2;3;vum
corpus_AUX;2;4;Johannes
corpus_AUX;2;5;Mentelin
corpus_AUX;2;6;hàt
corpus_AUX;2;7;schnall
corpus_AUX;2;8;Erfolg
corpus_AUX;2;9;ar
corpus_AUX;2;10;ìsch
corpus_AUX;2;11;a
corpus_AUX;2;12;riicher
corpus_AUX;2;13;Mànn
corpus_AUX;2;14;worra
corpus_AUX;2;15;.
corpus_AUX;3;1;Si
corpus_AUX;3;2;ältschta
corpus_AUX;3;3;bekànnta
corpus_AUX;3;4;Druckwark
corpus_AUX;3;5;ìsch
corpus_AUX;3;6;a
corpus_AUX;3;7;làtiinischa
corpus_AUX;3;8;Bibel
corpus_AUX;3;9;ìn
corpus_AUX;3;10;49
corpus_AUX;3;11;Ziila
corpus_AUX;3;12;(
corpus_AUX;3;13;„
corpus_AUX;3;14;B49
corpus_AUX;3;15;“
corpus_AUX;3;16;dr
corpus_AUX;3;17;erscht
corpus_AUX;3;18;Bànd
corpus_AUX;3;19;ìsch
corpus_AUX;3;20;vum
corpus_AUX;3;21;Johr
corpus_AUX;3;22;1460
corpus_AUX;3;23;.
corpus_AUX;4;1;Du
corpus_AUX;4;2;hesch
corpus_AUX;4;3;doch
corpus_AUX;4;4;nit
corpus_AUX;4;5;ghört
corpus_AUX;4;6;,
corpus_AUX;4;7;was
corpus_AUX;4;8;ich
corpus_AUX;4;9;ewe
corpus_AUX;4;10;do
corpus_AUX;4;11;for
corpus_AUX;4;12;mich
corpus_AUX;4;13;gsaat
corpus_AUX;4;14;hab
corpus_AUX;4;15;?
corpus_AUX;5;1;S
corpus_AUX;5;2;elsassischa
corpus_AUX;5;3;Museum
corpus_AUX;5;4;hàt
corpus_AUX;5;5;aui
corpus_AUX;5;6;,
corpus_AUX;5;7;zitter
corpus_AUX;5;8;'m
corpus_AUX;5;9;Ààfàng
corpus_AUX;5;10;,
corpus_AUX;5;11;a
corpus_AUX;5;12;großa
corpus_AUX;5;13;Sàmmlung
corpus_AUX;5;14;wo-n-ìhm
corpus_AUX;5;15;d
corpus_AUX;5;16;Société
corpus_AUX;5;17;d'
corpus_AUX;5;18;Histoire
corpus_AUX;5;19;des
corpus_AUX;5;20;Israélites
corpus_AUX;5;21;d'
corpus_AUX;5;22;Alsace
corpus_AUX;5;23;et
corpus_AUX;5;24;de
corpus_AUX;5;25;Lorraine
corpus_AUX;5;26;(
corpus_AUX;5;27;Gschìchtverein
corpus_AUX;5;28;vu
corpus_AUX;5;29;da
corpus_AUX;5;30;Israelita
corpus_AUX;5;31;vum
corpus_AUX;5;32;Elsàss
corpus_AUX;5;33;un
corpus_AUX;5;34;vu
corpus_AUX;5;35;Lothrìnga
corpus_AUX;5;36;)
corpus_AUX;5;37;gaa
corpus_AUX;5;38;hàt
corpus_AUX;5;39;.
corpus_AUX;6;1;Sina
corpus_AUX;6;2;Kenntnissa
corpus_AUX;6;3;hàt
corpus_AUX;6;4;'r
corpus_AUX;6;5;àlso
corpus_AUX;6;6;känna
corpus_AUX;6;7;antwader
corpus_AUX;6;8;direkt
corpus_AUX;6;9;z'
corpus_AUX;6;10;Mainz
corpus_AUX;6;11;oder
corpus_AUX;6;12;dur
corpus_AUX;6;13;ebber
corpus_AUX;6;14;wo-n-
corpus_AUX;6;15;ìhm
corpus_AUX;6;16;dàs
corpus_AUX;6;17;zeigt
corpus_AUX;6;18;vìllìcht
corpus_AUX;6;19;dr
corpus_AUX;6;20;Heinrich
corpus_AUX;6;21;Eggestein
corpus_AUX;6;22;.
