corpus_name;sentence_position;position;value
corpus_CCONJ;1;1;O
corpus_CCONJ;1;2;,
corpus_CCONJ;1;3;wie
corpus_CCONJ;1;4;bin
corpus_CCONJ;1;5;ich
corpus_CCONJ;1;6;unglüecklich
corpus_CCONJ;1;7;!
corpus_CCONJ;2;1;Unn
corpus_CCONJ;2;2;wenn
corpus_CCONJ;2;3;du
corpus_CCONJ;2;4;bis
corpus_CCONJ;2;5;an
corpus_CCONJ;2;6;de
corpus_CCONJ;2;7;plafond
corpus_CCONJ;2;8;springsch
corpus_CCONJ;2;9;!
corpus_CCONJ;3;1;Vùm
corpus_CCONJ;3;2;Fiir
corpus_CCONJ;3;3;ewegnamme
corpus_CCONJ;3;4;soboel
corpus_CCONJ;3;5;dàss
corpus_CCONJ;3;6;de
corpus_CCONJ;3;7;Sabayon
corpus_CCONJ;3;8;dìck
corpus_CCONJ;3;9;genue
corpus_CCONJ;3;10;wùrre
corpus_CCONJ;3;11;ìsch
corpus_CCONJ;3;12;,
corpus_CCONJ;3;13;kàlt
corpus_CCONJ;3;14;lon
corpus_CCONJ;3;15;wëre
corpus_CCONJ;3;16;.
corpus_CCONJ;4;1;Àls
corpus_CCONJ;4;2;Berüef
corpus_CCONJ;4;3;ìsch
corpus_CCONJ;4;4;'r
corpus_CCONJ;4;5;zeerscht
corpus_CCONJ;4;6;„
corpus_CCONJ;4;7;Guldschriiwer
corpus_CCONJ;4;8;“
corpus_CCONJ;4;9;(
corpus_CCONJ;4;10;Kalligraph
corpus_CCONJ;4;11;un
corpus_CCONJ;4;12;Büechschriiwer
corpus_CCONJ;4;13;)
corpus_CCONJ;4;14;gsìì
corpus_CCONJ;4;15;un
corpus_CCONJ;4;16;hàt
corpus_CCONJ;4;17;noochhar
corpus_CCONJ;4;18;àls
corpus_CCONJ;4;19;bìschäfliger
corpus_CCONJ;4;20;Notàr
corpus_CCONJ;4;21;gschàft
corpus_CCONJ;4;22;.
corpus_CCONJ;5;1;Sina
corpus_CCONJ;5;2;Kenntnissa
corpus_CCONJ;5;3;hàt
corpus_CCONJ;5;4;'r
corpus_CCONJ;5;5;àlso
corpus_CCONJ;5;6;känna
corpus_CCONJ;5;7;antwader
corpus_CCONJ;5;8;direkt
corpus_CCONJ;5;9;z'
corpus_CCONJ;5;10;Mainz
corpus_CCONJ;5;11;oder
corpus_CCONJ;5;12;dur
corpus_CCONJ;5;13;ebber
corpus_CCONJ;5;14;wo-n-
corpus_CCONJ;5;15;ìhm
corpus_CCONJ;5;16;dàs
corpus_CCONJ;5;17;zeigt
corpus_CCONJ;5;18;vìllìcht
corpus_CCONJ;5;19;dr
corpus_CCONJ;5;20;Heinrich
corpus_CCONJ;5;21;Eggestein
corpus_CCONJ;5;22;.
corpus_CCONJ;6;1;Uf
corpus_CCONJ;6;2;Hochditsch
corpus_CCONJ;6;3;hàt
corpus_CCONJ;6;4;'r
corpus_CCONJ;6;5;Literàtur
corpus_CCONJ;6;6;vum
corpus_CCONJ;6;7;Mìttelàlter
corpus_CCONJ;6;8;wia
corpus_CCONJ;6;9;zum
corpus_CCONJ;6;10;Beispiel
corpus_CCONJ;6;11;„
corpus_CCONJ;6;12;Parzival
corpus_CCONJ;6;13;“
corpus_CCONJ;6;14;vum
corpus_CCONJ;6;15;Wolfram
corpus_CCONJ;6;16;von
corpus_CCONJ;6;17;Eschenbach
corpus_CCONJ;6;18;un
corpus_CCONJ;6;19;„
corpus_CCONJ;6;20;Titurel
corpus_CCONJ;6;21;“
corpus_CCONJ;6;22;vum
corpus_CCONJ;6;23;Albrecht
corpus_CCONJ;6;24;von
corpus_CCONJ;6;25;Scharfenberg
corpus_CCONJ;6;26;.
