corpus_name;sentence_position;position;value
corpus_CONJ;1;1;O
corpus_CONJ;1;2;,
corpus_CONJ;1;3;wie
corpus_CONJ;1;4;bin
corpus_CONJ;1;5;ich
corpus_CONJ;1;6;unglüecklich
corpus_CONJ;1;7;!
corpus_CONJ;2;1;Unn
corpus_CONJ;2;2;wenn
corpus_CONJ;2;3;du
corpus_CONJ;2;4;bis
corpus_CONJ;2;5;an
corpus_CONJ;2;6;de
corpus_CONJ;2;7;plafond
corpus_CONJ;2;8;springsch
corpus_CONJ;2;9;!
corpus_CONJ;3;1;Vùm
corpus_CONJ;3;2;Fiir
corpus_CONJ;3;3;ewegnamme
corpus_CONJ;3;4;soboel
corpus_CONJ;3;5;dàss
corpus_CONJ;3;6;de
corpus_CONJ;3;7;Sabayon
corpus_CONJ;3;8;dìck
corpus_CONJ;3;9;genue
corpus_CONJ;3;10;wùrre
corpus_CONJ;3;11;ìsch
corpus_CONJ;3;12;,
corpus_CONJ;3;13;kàlt
corpus_CONJ;3;14;lon
corpus_CONJ;3;15;wëre
corpus_CONJ;3;16;.
corpus_CONJ;4;1;Àls
corpus_CONJ;4;2;Berüef
corpus_CONJ;4;3;ìsch
corpus_CONJ;4;4;'r
corpus_CONJ;4;5;zeerscht
corpus_CONJ;4;6;„
corpus_CONJ;4;7;Guldschriiwer
corpus_CONJ;4;8;“
corpus_CONJ;4;9;(
corpus_CONJ;4;10;Kalligraph
corpus_CONJ;4;11;un
corpus_CONJ;4;12;Büechschriiwer
corpus_CONJ;4;13;)
corpus_CONJ;4;14;gsìì
corpus_CONJ;4;15;un
corpus_CONJ;4;16;hàt
corpus_CONJ;4;17;noochhar
corpus_CONJ;4;18;àls
corpus_CONJ;4;19;bìschäfliger
corpus_CONJ;4;20;Notàr
corpus_CONJ;4;21;gschàft
corpus_CONJ;4;22;.
corpus_CONJ;5;1;Sina
corpus_CONJ;5;2;Kenntnissa
corpus_CONJ;5;3;hàt
corpus_CONJ;5;4;'r
corpus_CONJ;5;5;àlso
corpus_CONJ;5;6;känna
corpus_CONJ;5;7;antwader
corpus_CONJ;5;8;direkt
corpus_CONJ;5;9;z'
corpus_CONJ;5;10;Mainz
corpus_CONJ;5;11;oder
corpus_CONJ;5;12;dur
corpus_CONJ;5;13;ebber
corpus_CONJ;5;14;wo-n-
corpus_CONJ;5;15;ìhm
corpus_CONJ;5;16;dàs
corpus_CONJ;5;17;zeigt
corpus_CONJ;5;18;vìllìcht
corpus_CONJ;5;19;dr
corpus_CONJ;5;20;Heinrich
corpus_CONJ;5;21;Eggestein
corpus_CONJ;5;22;.
corpus_CONJ;6;1;Uf
corpus_CONJ;6;2;Hochditsch
corpus_CONJ;6;3;hàt
corpus_CONJ;6;4;'r
corpus_CONJ;6;5;Literàtur
corpus_CONJ;6;6;vum
corpus_CONJ;6;7;Mìttelàlter
corpus_CONJ;6;8;wia
corpus_CONJ;6;9;zum
corpus_CONJ;6;10;Beispiel
corpus_CONJ;6;11;„
corpus_CONJ;6;12;Parzival
corpus_CONJ;6;13;“
corpus_CONJ;6;14;vum
corpus_CONJ;6;15;Wolfram
corpus_CONJ;6;16;von
corpus_CONJ;6;17;Eschenbach
corpus_CONJ;6;18;un
corpus_CONJ;6;19;„
corpus_CONJ;6;20;Titurel
corpus_CONJ;6;21;“
corpus_CONJ;6;22;vum
corpus_CONJ;6;23;Albrecht
corpus_CONJ;6;24;von
corpus_CONJ;6;25;Scharfenberg
corpus_CONJ;6;26;.
