corpus_name;sentence_position;position;value
corpus_DET;1;1;Brüchsch
corpus_DET;1;2;kenn
corpus_DET;1;3;Angscht
corpus_DET;1;4;ze
corpus_DET;1;5;han
corpus_DET;1;6;for
corpus_DET;1;7;mich
corpus_DET;1;8;,
corpus_DET;1;9;papa
corpus_DET;1;10;.
corpus_DET;2;1;S
corpus_DET;2;2;elsassischa
corpus_DET;2;3;Museum
corpus_DET;2;4;hàt
corpus_DET;2;5;aui
corpus_DET;2;6;,
corpus_DET;2;7;zitter
corpus_DET;2;8;'m
corpus_DET;2;9;Ààfàng
corpus_DET;2;10;,
corpus_DET;2;11;a
corpus_DET;2;12;großa
corpus_DET;2;13;Sàmmlung
corpus_DET;2;14;wo-n-ìhm
corpus_DET;2;15;d
corpus_DET;2;16;Société
corpus_DET;2;17;d'
corpus_DET;2;18;Histoire
corpus_DET;2;19;des
corpus_DET;2;20;Israélites
corpus_DET;2;21;d'
corpus_DET;2;22;Alsace
corpus_DET;2;23;et
corpus_DET;2;24;de
corpus_DET;2;25;Lorraine
corpus_DET;2;26;(
corpus_DET;2;27;Gschìchtverein
corpus_DET;2;28;vu
corpus_DET;2;29;da
corpus_DET;2;30;Israelita
corpus_DET;2;31;vum
corpus_DET;2;32;Elsàss
corpus_DET;2;33;un
corpus_DET;2;34;vu
corpus_DET;2;35;Lothrìnga
corpus_DET;2;36;)
corpus_DET;2;37;gaa
corpus_DET;2;38;hàt
corpus_DET;2;39;.
corpus_DET;3;1;Dia
corpus_DET;3;2;Bibel
corpus_DET;3;3;ìsch
corpus_DET;3;4;drittzeh
corpus_DET;3;5;Mol
corpus_DET;3;6;wìdder
corpus_DET;3;7;druckt
corpus_DET;3;8;vu
corpus_DET;3;9;verschìedena
corpus_DET;3;10;Drucker
corpus_DET;3;11;ìm
corpus_DET;3;12;südditscha
corpus_DET;3;13;bis
corpus_DET;3;14;d
corpus_DET;3;15;Veräffentligung
corpus_DET;3;16;vu
corpus_DET;3;17;dr
corpus_DET;3;18;Luther-Bibel
corpus_DET;3;19;.
corpus_DET;4;1;Dàs
corpus_DET;4;2;Museum
corpus_DET;4;3;befìndet
corpus_DET;4;4;sìch
corpus_DET;4;5;nawa
corpus_DET;4;6;dr
corpus_DET;4;7;Ìll
corpus_DET;4;8;,
corpus_DET;4;9;ìn
corpus_DET;4;10;'ma
corpus_DET;4;11;Gebäi
corpus_DET;4;12;wo
corpus_DET;4;13;zu
corpus_DET;4;14;da
corpus_DET;4;15;monuments
corpus_DET;4;16;historiques
corpus_DET;4;17;gheert
corpus_DET;4;18;,
corpus_DET;4;19;àn
corpus_DET;4;20;dr
corpus_DET;4;21;Àdrass
corpus_DET;4;22;:
corpus_DET;4;23;23-25
corpus_DET;4;24;Place
corpus_DET;4;25;du
corpus_DET;4;26;Corbeau
corpus_DET;4;27;.
corpus_DET;5;1;Wahrend'm
corpus_DET;5;2;erschta
corpus_DET;5;3;Waltkriag
corpus_DET;5;4;hàt
corpus_DET;5;5;d
corpus_DET;5;6;ditscha
corpus_DET;5;7;Regiarung
corpus_DET;5;8;s
corpus_DET;5;9;Museum
corpus_DET;5;10;züegmàcht
corpus_DET;5;11;,
corpus_DET;5;12;wial
corpus_DET;5;13;'s
corpus_DET;5;14;züe
corpus_DET;5;15;vìel
corpus_DET;5;16;fer
corpus_DET;5;17;s
corpus_DET;5;18;Frànkrìch
corpus_DET;5;19;igstellt
corpus_DET;5;20;gsìì
corpus_DET;5;21;ìsch
corpus_DET;5;22;.
