corpus_name;sentence_position;position;value
corpus_PART;1;1;Dr
corpus_PART;1;2;Kìnschtler
corpus_PART;1;3;Charles
corpus_PART;1;4;Spindler
corpus_PART;1;5;wo
corpus_PART;1;6;bim
corpus_PART;1;7;Notàr
corpus_PART;1;8;nìt
corpus_PART;1;9;derbi
corpus_PART;1;10;gsìì
corpus_PART;1;11;ìsch
corpus_PART;1;12;hàt
corpus_PART;1;13;aui
corpus_PART;1;14;mìtgmàcht
corpus_PART;1;15;:
corpus_PART;1;16;ar
corpus_PART;1;17;hàt
corpus_PART;1;18;d
corpus_PART;1;19;Wàsserfàrb-Gmälta
corpus_PART;1;20;vum
corpus_PART;1;21;Büech
corpus_PART;1;22;Costumes
corpus_PART;1;23;et
corpus_PART;1;24;coutumes
corpus_PART;1;25;d’Alsace
corpus_PART;1;26;gaa
corpus_PART;1;27;,
corpus_PART;1;28;un
corpus_PART;1;29;hàt
corpus_PART;1;30;derfer
corpus_PART;1;31;a
corpus_PART;1;32;Gschaftsààteil
corpus_PART;1;33;vum
corpus_PART;1;34;Museum
corpus_PART;1;35;bikumma
corpus_PART;1;36;.
corpus_PART;2;1;Wahrend'm
corpus_PART;2;2;erschta
corpus_PART;2;3;Waltkriag
corpus_PART;2;4;hàt
corpus_PART;2;5;d
corpus_PART;2;6;ditscha
corpus_PART;2;7;Regiarung
corpus_PART;2;8;s
corpus_PART;2;9;Museum
corpus_PART;2;10;züegmàcht
corpus_PART;2;11;,
corpus_PART;2;12;wial
corpus_PART;2;13;'s
corpus_PART;2;14;züe
corpus_PART;2;15;vìel
corpus_PART;2;16;fer
corpus_PART;2;17;s
corpus_PART;2;18;Frànkrìch
corpus_PART;2;19;igstellt
corpus_PART;2;20;gsìì
corpus_PART;2;21;ìsch
corpus_PART;2;22;.
corpus_PART;3;1;Ma
corpus_PART;3;2;weiß
corpus_PART;3;3;nìt
corpus_PART;3;4;wo
corpus_PART;3;5;un
corpus_PART;3;6;wenn
corpus_PART;3;7;àss
corpus_PART;3;8;er
corpus_PART;3;9;d
corpus_PART;3;10;Technik
corpus_PART;3;11;vum
corpus_PART;3;12;Büechdrucka
corpus_PART;3;13;glehrt
corpus_PART;3;14;hàt
corpus_PART;3;15;.
