corpus_name;sentence_position;position;value
corpus_PRON;1;1;D'
corpus_PRON;1;2;Mìschùng
corpus_PRON;1;3;muess
corpus_PRON;1;4;schümisch
corpus_PRON;1;5;wëre
corpus_PRON;1;6;ùn
corpus_PRON;1;7;sich
corpus_PRON;1;8;verdopple
corpus_PRON;1;9;,
corpus_PRON;1;10;sie
corpus_PRON;1;11;muess
corpus_PRON;1;12;àwwer
corpus_PRON;1;13;nìt
corpus_PRON;1;14;àbkoche
corpus_PRON;1;15;.
corpus_PRON;2;1;Sina
corpus_PRON;2;2;Kenntnissa
corpus_PRON;2;3;hàt
corpus_PRON;2;4;'r
corpus_PRON;2;5;àlso
corpus_PRON;2;6;känna
corpus_PRON;2;7;antwader
corpus_PRON;2;8;direkt
corpus_PRON;2;9;z'
corpus_PRON;2;10;Mainz
corpus_PRON;2;11;oder
corpus_PRON;2;12;dur
corpus_PRON;2;13;ebber
corpus_PRON;2;14;wo-n-
corpus_PRON;2;15;ìhm
corpus_PRON;2;16;dàs
corpus_PRON;2;17;zeigt
corpus_PRON;2;18;vìllìcht
corpus_PRON;2;19;dr
corpus_PRON;2;20;Heinrich
corpus_PRON;2;21;Eggestein
corpus_PRON;2;22;.
corpus_PRON;3;1;Ar
corpus_PRON;3;2;ìsch
corpus_PRON;3;3;uffem
corpus_PRON;3;4;Kirchhof
corpus_PRON;3;5;vu
corpus_PRON;3;6;dr
corpus_PRON;3;7;St.-Michaels-Kapelle
corpus_PRON;3;8;(
corpus_PRON;3;9;wo
corpus_PRON;3;10;'s
corpus_PRON;3;11;nìmm
corpus_PRON;3;12;gìtt
corpus_PRON;3;13;)
corpus_PRON;3;14;vergràwa
corpus_PRON;3;15;.
corpus_PRON;4;1;Ìm
corpus_PRON;4;2;Gsàmta
corpus_PRON;4;3;hàt
corpus_PRON;4;4;'r
corpus_PRON;4;5;ungfahr
corpus_PRON;4;6;40
corpus_PRON;4;7;Biacher
corpus_PRON;4;8;unter
corpus_PRON;4;9;Duck
corpus_PRON;4;10;gmàcht
corpus_PRON;4;11;.
