corpus_name;sentence_position;position;value
corpus_SCONJ;1;1;Ich
corpus_SCONJ;1;2;hab
corpus_SCONJ;1;3;eini
corpus_SCONJ;1;4;im
corpus_SCONJ;1;5;Au
corpus_SCONJ;1;6;,
corpus_SCONJ;1;7;wie
corpus_SCONJ;1;8;sowohl
corpus_SCONJ;1;9;vum
corpus_SCONJ;1;10;wisseschaftliche
corpus_SCONJ;1;11;,
corpus_SCONJ;1;12;als
corpus_SCONJ;1;13;au
corpus_SCONJ;1;14;vum
corpus_SCONJ;1;15;praktische
corpus_SCONJ;1;16;unn
corpus_SCONJ;1;17;vum
corpus_SCONJ;1;18;menschliche
corpus_SCONJ;1;19;Standpunkt
corpus_SCONJ;1;20;üs
corpus_SCONJ;1;21;mine-n-
corpus_SCONJ;1;22;Anforderunge
corpus_SCONJ;1;23;entschpricht
corpus_SCONJ;1;24;.
corpus_SCONJ;2;1;Eh
corpus_SCONJ;2;2;bien
corpus_SCONJ;2;3;,
corpus_SCONJ;2;4;ich
corpus_SCONJ;2;5;garantier
corpus_SCONJ;2;6;Ejch
corpus_SCONJ;2;7;,
corpus_SCONJ;2;8;dass
corpus_SCONJ;2;9;Ihr
corpus_SCONJ;2;10;mine
corpus_SCONJ;2;11;Wille
corpus_SCONJ;2;12;reschpektiere
corpus_SCONJ;2;13;wäre
corpus_SCONJ;2;14;!
corpus_SCONJ;3;1;Unn
corpus_SCONJ;3;2;wenn
corpus_SCONJ;3;3;du
corpus_SCONJ;3;4;bis
corpus_SCONJ;3;5;an
corpus_SCONJ;3;6;de
corpus_SCONJ;3;7;plafond
corpus_SCONJ;3;8;springsch
corpus_SCONJ;3;9;!
corpus_SCONJ;4;1;Charles
corpus_SCONJ;4;2;,
corpus_SCONJ;4;3;wenn
corpus_SCONJ;4;4;du
corpus_SCONJ;4;5;wüescht
corpus_SCONJ;4;6;,
corpus_SCONJ;4;7;wie
corpus_SCONJ;4;8;ich
corpus_SCONJ;4;9;dich
corpus_SCONJ;4;10;gern
corpus_SCONJ;4;11;hab
corpus_SCONJ;4;12;!
corpus_SCONJ;5;1;Schlaawe
corpus_SCONJ;5;2;bis
corpus_SCONJ;5;3;dàss
corpus_SCONJ;5;4;es
corpus_SCONJ;5;5;wiss
corpus_SCONJ;5;6;wùrd
corpus_SCONJ;5;7;.
corpus_SCONJ;6;1;Vùm
corpus_SCONJ;6;2;Fiir
corpus_SCONJ;6;3;ewegnamme
corpus_SCONJ;6;4;soboel
corpus_SCONJ;6;5;dàss
corpus_SCONJ;6;6;de
corpus_SCONJ;6;7;Sabayon
corpus_SCONJ;6;8;dìck
corpus_SCONJ;6;9;genue
corpus_SCONJ;6;10;wùrre
corpus_SCONJ;6;11;ìsch
corpus_SCONJ;6;12;,
corpus_SCONJ;6;13;kàlt
corpus_SCONJ;6;14;lon
corpus_SCONJ;6;15;wëre
corpus_SCONJ;6;16;.
corpus_SCONJ;7;1;Wahrend'm
corpus_SCONJ;7;2;erschta
corpus_SCONJ;7;3;Waltkriag
corpus_SCONJ;7;4;hàt
corpus_SCONJ;7;5;d
corpus_SCONJ;7;6;ditscha
corpus_SCONJ;7;7;Regiarung
corpus_SCONJ;7;8;s
corpus_SCONJ;7;9;Museum
corpus_SCONJ;7;10;züegmàcht
corpus_SCONJ;7;11;,
corpus_SCONJ;7;12;wial
corpus_SCONJ;7;13;'s
corpus_SCONJ;7;14;züe
corpus_SCONJ;7;15;vìel
corpus_SCONJ;7;16;fer
corpus_SCONJ;7;17;s
corpus_SCONJ;7;18;Frànkrìch
corpus_SCONJ;7;19;igstellt
corpus_SCONJ;7;20;gsìì
corpus_SCONJ;7;21;ìsch
corpus_SCONJ;7;22;.
corpus_SCONJ;8;1;Ma
corpus_SCONJ;8;2;weiß
corpus_SCONJ;8;3;nìt
corpus_SCONJ;8;4;gnàui
corpus_SCONJ;8;5;wo
corpus_SCONJ;8;6;un
corpus_SCONJ;8;7;wenn
corpus_SCONJ;8;8;àss
corpus_SCONJ;8;9;er
corpus_SCONJ;8;10;d
corpus_SCONJ;8;11;Technik
corpus_SCONJ;8;12;vum
corpus_SCONJ;8;13;Büechdrucka
corpus_SCONJ;8;14;glehrt
corpus_SCONJ;8;15;hàt
corpus_SCONJ;8;16;.
