corpus_name;sentence_position;word_position;value;postag_name;confidence_score;tagger
Hoflieferant_p53;1;1;Brüchsch;NOUN;10;TreeTagger
Hoflieferant_p53;1;2;kenn;PRON;10;TreeTagger
Hoflieferant_p53;1;3;Angscht;NOUN;10;TreeTagger
Hoflieferant_p53;1;4;ze;PART;10;TreeTagger
Hoflieferant_p53;1;5;han;VERB;10;TreeTagger
Hoflieferant_p53;1;6;for;ADP;10;TreeTagger
Hoflieferant_p53;1;7;mich;PRON;10;TreeTagger
Hoflieferant_p53;1;8;,;PUNCT;10;TreeTagger
Hoflieferant_p53;1;9;papa;NOUN;10;TreeTagger
Hoflieferant_p53;1;10;.;PUNCT;10;TreeTagger
Hoflieferant_p53;2;1;Ich;PRON;10;TreeTagger
Hoflieferant_p53;2;2;hab;VERB;10;TreeTagger
Hoflieferant_p53;2;3;eini;DET;10;TreeTagger
Hoflieferant_p53;2;4;im;ADP;10;TreeTagger
Hoflieferant_p53;2;5;Au;NOUN;10;TreeTagger
Hoflieferant_p53;2;6;,;PUNCT;10;TreeTagger
Hoflieferant_p53;2;7;wie;CONJ;10;TreeTagger
Hoflieferant_p53;2;8;sowohl;CONJ;10;TreeTagger
Hoflieferant_p53;2;9;vum;ADP;10;TreeTagger
Hoflieferant_p53;2;10;wisseschaftliche;ADJ;10;TreeTagger
Hoflieferant_p53;2;11;,;PUNCT;10;TreeTagger
Hoflieferant_p53;2;12;als;CONJ;10;TreeTagger
Hoflieferant_p53;2;13;au;INTJ;10;TreeTagger
Hoflieferant_p53;2;14;vum;ADP;10;TreeTagger
Hoflieferant_p53;2;15;praktische;ADJ;10;TreeTagger
Hoflieferant_p53;2;16;unn;CONJ;10;TreeTagger
Hoflieferant_p53;2;17;vum;ADP;10;TreeTagger
Hoflieferant_p53;2;18;menschliche;ADJ;10;TreeTagger
Hoflieferant_p53;2;19;Standpunkt;NOUN;10;TreeTagger
Hoflieferant_p53;2;20;üs;ADP;10;TreeTagger
Hoflieferant_p53;2;21;mine-n-;X;10;TreeTagger
Hoflieferant_p53;2;22;Anforderunge;NOUN;10;TreeTagger
Hoflieferant_p53;2;23;entschpricht;VERB;10;TreeTagger
Hoflieferant_p53;2;24;.;PUNCT;10;TreeTagger
Hoflieferant_p53;3;1;Unn;CONJ;10;TreeTagger
Hoflieferant_p53;3;2;ich;PRON;10;TreeTagger
Hoflieferant_p53;3;3;hab;VERB;10;TreeTagger
Hoflieferant_p53;3;4;hytt;ADJ;10;TreeTagger
Hoflieferant_p53;3;5;de-n-;DET;10;TreeTagger
Hoflieferant_p53;3;6;Entschluss;NOUN;10;TreeTagger
Hoflieferant_p53;3;7;gfasst;VERB;10;TreeTagger
Hoflieferant_p53;3;8;,;PUNCT;10;TreeTagger
Hoflieferant_p53;3;9;nur;ADV;10;TreeTagger
Hoflieferant_p53;3;10;die;DET;10;TreeTagger
Hoflieferant_p53;3;11;Frau;NOUN;10;TreeTagger
Hoflieferant_p53;3;12;ze;ADP;10;TreeTagger
Hoflieferant_p53;3;13;hierothe;NOUN;10;TreeTagger
Hoflieferant_p53;3;14;,;PUNCT;10;TreeTagger
Hoflieferant_p53;3;15;wie;CONJ;10;TreeTagger
Hoflieferant_p53;3;16;mir;PRON;10;TreeTagger
Hoflieferant_p53;3;17;passt;VERB;10;TreeTagger
Hoflieferant_p53;3;18;.;PUNCT;10;TreeTagger
Hoflieferant_p53;4;1;Bravo;NOUN;10;TreeTagger
Hoflieferant_p53;4;2;,;PUNCT;10;TreeTagger
Hoflieferant_p53;4;3;Auguste;NOUN;10;TreeTagger
Hoflieferant_p53;4;4;,;PUNCT;10;TreeTagger
Hoflieferant_p53;4;5;ganz;ADV;10;TreeTagger
Hoflieferant_p53;4;6;vun;ADP;10;TreeTagger
Hoflieferant_p53;4;7;minere;PRON;10;TreeTagger
Hoflieferant_p53;4;8;Meinung;NOUN;10;TreeTagger
Hoflieferant_p53;4;9;!;PUNCT;10;TreeTagger
Hoflieferant_p53;5;1;Dini;PRON;10;TreeTagger
Hoflieferant_p53;5;2;Aprobation;NOUN;10;TreeTagger
Hoflieferant_p53;5;3;brücht;NOUN;10;TreeTagger
Hoflieferant_p53;5;4;'r;PRON;10;TreeTagger
Hoflieferant_p53;5;5;allewäj;ADV;10;TreeTagger
Hoflieferant_p53;5;6;!;PUNCT;10;TreeTagger
Hoflieferant_p53;6;1;Ich;PRON;10;TreeTagger
Hoflieferant_p53;6;2;mach;VERB;10;TreeTagger
Hoflieferant_p53;6;3;'s;NOUN;10;TreeTagger
Hoflieferant_p53;6;4;également;NOUN;10;TreeTagger
Hoflieferant_p53;6;5;eso;ADJ;10;TreeTagger
Hoflieferant_p53;6;6;.;PUNCT;10;TreeTagger
Hoflieferant_p53;7;1;Bravo;NOUN;10;TreeTagger
Hoflieferant_p53;7;2;!;PUNCT;10;TreeTagger
Hoflieferant_p53;8;1;Alls;NOUN;10;TreeTagger
Hoflieferant_p53;8;2;besser;ADJ;10;TreeTagger
Hoflieferant_p53;8;3;!;PUNCT;10;TreeTagger
Hoflieferant_p53;9;1;Eh;ADV;10;TreeTagger
Hoflieferant_p53;9;2;bien;ADJ;10;TreeTagger
Hoflieferant_p53;9;3;,;PUNCT;10;TreeTagger
Hoflieferant_p53;9;4;ich;PRON;10;TreeTagger
Hoflieferant_p53;9;5;garantier;VERB;10;TreeTagger
Hoflieferant_p53;9;6;Ejch;PRON;10;TreeTagger
Hoflieferant_p53;9;7;,;PUNCT;10;TreeTagger
Hoflieferant_p53;9;8;dass;CONJ;10;TreeTagger
Hoflieferant_p53;9;9;Ihr;PRON;10;TreeTagger
Hoflieferant_p53;9;10;mine;PRON;10;TreeTagger
Hoflieferant_p53;9;11;Wille;NOUN;10;TreeTagger
Hoflieferant_p53;9;12;reschpektiere;NOUN;10;TreeTagger
Hoflieferant_p53;9;13;wäre;VERB;10;TreeTagger
Hoflieferant_p53;9;14;!;PUNCT;10;TreeTagger
Hoflieferant_p53;10;1;Du;PRON;10;TreeTagger
Hoflieferant_p53;10;2;,;PUNCT;10;TreeTagger
Hoflieferant_p53;10;3;Auguste;NOUN;10;TreeTagger
Hoflieferant_p53;10;4;,;PUNCT;10;TreeTagger
Hoflieferant_p53;10;5;hierotsch;ADJ;10;TreeTagger
Hoflieferant_p53;10;6;d';DET;10;TreeTagger
Hoflieferant_p53;10;7;mademoiselle;ADJ;10;TreeTagger
Hoflieferant_p53;10;8;Riemer;NOUN;10;TreeTagger
Hoflieferant_p53;10;9;.;PUNCT;10;TreeTagger
Hoflieferant_p53;11;1;Papa;NOUN;10;TreeTagger
Hoflieferant_p53;11;2;niemols;NOUN;10;TreeTagger
Hoflieferant_p53;11;3;!;PUNCT;10;TreeTagger
Hoflieferant_p53;12;1;Unn;CONJ;10;TreeTagger
Hoflieferant_p53;12;2;wenn;CONJ;10;TreeTagger
Hoflieferant_p53;12;3;du;PRON;10;TreeTagger
Hoflieferant_p53;12;4;bis;ADP;10;TreeTagger
Hoflieferant_p53;12;5;an;ADP;10;TreeTagger
Hoflieferant_p53;12;6;de;NOUN;10;TreeTagger
Hoflieferant_p53;12;7;plafond;NOUN;10;TreeTagger
Hoflieferant_p53;12;8;springsch;VERB;10;TreeTagger
Hoflieferant_p53;12;9;!;PUNCT;10;TreeTagger
Hoflieferant_p53;13;1;Fallt;VERB;10;TreeTagger
Hoflieferant_p53;13;2;m'r;PRON;10;TreeTagger
Hoflieferant_p53;13;3;nit;PART;10;TreeTagger
Hoflieferant_p53;13;4;in;ADP;10;TreeTagger
Hoflieferant_p53;13;5;so;ADV;10;TreeTagger
Hoflieferant_p53;13;6;hoch;ADJ;10;TreeTagger
Hoflieferant_p53;13;7;ze;PART;10;TreeTagger
Hoflieferant_p53;13;8;springe;VERB;10;TreeTagger
Hoflieferant_p53;13;9;!;PUNCT;10;TreeTagger
Hoflieferant_p53;14;1;Geh;VERB;10;TreeTagger
Hoflieferant_p53;14;2;e;VERB;10;TreeTagger
Hoflieferant_p53;14;3;Gottsnamme;NOUN;10;TreeTagger
Hoflieferant_p53;14;4;im;ADP;10;TreeTagger
Hoflieferant_p53;14;5;Deifel;NOUN;10;TreeTagger
Hoflieferant_p53;14;6;zue;PART;10;TreeTagger
Hoflieferant_p53;14;7;,;PUNCT;10;TreeTagger
Hoflieferant_p53;14;8;no;ADJ;10;TreeTagger
Hoflieferant_p53;14;9;rennsch;NOUN;10;TreeTagger
Hoflieferant_p53;14;10;au;INTJ;10;TreeTagger
Hoflieferant_p53;14;11;kein;PRON;10;TreeTagger
Hoflieferant_p53;14;12;Heiliger;NOUN;10;TreeTagger
Hoflieferant_p53;14;13;um;PART;10;TreeTagger
Hoflieferant_p53;14;14;!;PUNCT;10;TreeTagger
Hoflieferant_p53;15;1;Awwer;ADV;10;TreeTagger
Hoflieferant_p53;15;2;,;PUNCT;10;TreeTagger
