corpus_name;sentence_position;position;value
weissenburger;1;1;E
weissenburger;1;2;weissenburger
weissenburger;1;3;in
weissenburger;1;4;de
weissenburger;1;5;50er
weissenburger;1;6;Johre
weissenburger;2;1;vum
weissenburger;2;2;Raymond
weissenburger;2;3;Weissenburger
weissenburger;3;1;Mir
weissenburger;3;2;schriwe
weissenburger;3;3;’s
weissenburger;3;4;Johr
weissenburger;3;5;1953.
weissenburger;3;6;Es
weissenburger;3;7;isch
weissenburger;3;8;e
weissenburger;3;9;Dienschdàà
weissenburger;3;10;im
weissenburger;3;11;April
weissenburger;3;12;.
weissenburger;4;1;E
weissenburger;4;2;gröijer
weissenburger;4;3;,
weissenburger;4;4;troschtloser
weissenburger;4;5;Dienschdàà
weissenburger;4;6;,
weissenburger;4;7;ohne
weissenburger;4;8;Wind
weissenburger;4;9;fer
weissenburger;4;10;die
weissenburger;4;11;Wolike
weissenburger;4;12;ze
weissenburger;4;13;vertriwe
weissenburger;4;14;wie
weissenburger;4;15;schunn
weissenburger;4;16;de
weissenburger;4;17;gànze
weissenburger;4;18;Morje
weissenburger;4;19;de
weissenburger;4;20;Himmel
weissenburger;4;21;bedecke
weissenburger;4;22;un
weissenburger;4;23;nit
weissenburger;4;24;ferti
weissenburger;4;25;wäre
weissenburger;4;26;mit
weissenburger;4;27;niessle
weissenburger;4;28;.
weissenburger;5;1;Fàscht
weissenburger;5;2;kennt
weissenburger;5;3;m
weissenburger;5;4;’r
weissenburger;5;5;glauwe
weissenburger;5;6;es
weissenburger;5;7;wärd
weissenburger;5;8;e
weissenburger;5;9;normàler
weissenburger;5;10;Dienschdàà
weissenburger;5;11;,
weissenburger;5;12;wenn
weissenburger;5;13;nit
weissenburger;5;14;gànz
weissenburger;5;15;àm
weissenburger;5;16;End
weissenburger;5;17;vum
weissenburger;5;18;Dorf
weissenburger;5;19;,
weissenburger;5;20;im
weissenburger;5;21;e
weissenburger;5;22;Fàchwärikhüs
weissenburger;5;23;mit
weissenburger;5;24;hellbloï
weissenburger;5;25;àng’strichene
weissenburger;5;26;Rijelwänd
weissenburger;5;27;,
weissenburger;5;28;mit
weissenburger;5;29;griene
weissenburger;5;30;Läde
weissenburger;5;31;,
weissenburger;5;32;mit
weissenburger;5;33;zwei
weissenburger;5;34;bescheidene
weissenburger;5;35;Vordächer
weissenburger;5;36;uf
weissenburger;5;37;sinere
weissenburger;5;38;Vordersit
weissenburger;5;39;un
weissenburger;5;40;mit‘eme
weissenburger;5;41;ànspruchslose
weissenburger;5;42;owere
weissenburger;5;43;Stock
weissenburger;5;44;,
weissenburger;5;45;wenn
weissenburger;5;46;nitt
weissenburger;5;47;in
weissenburger;5;48;dem
weissenburger;5;49;Hüs
weissenburger;5;50;e
weissenburger;5;51;so
weissenburger;5;52;groβi
weissenburger;5;53;Ufreijung
weissenburger;5;54;herrsche
weissenburger;5;55;dät
weissenburger;5;56;.
weissenburger;6;1;Uf
weissenburger;6;2;Hochdüre
weissenburger;6;3;laufe
weissenburger;6;4;do
weissenburger;6;5;inne
weissenburger;6;6;d’
weissenburger;6;7;Vorbereitunge
weissenburger;6;8;fer
weissenburger;6;9;d’
weissenburger;6;10;weissenburger
weissenburger;6;11;vum
weissenburger;6;12;Marikel
weissenburger;6;13;,
weissenburger;6;14;mit‘em
weissenburger;6;15;Güscht
weissenburger;6;16;,
weissenburger;6;17;e
weissenburger;6;18;Büe
weissenburger;6;19;vum
weissenburger;6;20;Dorf
weissenburger;6;21;.
weissenburger;7;1;s
weissenburger;7;2;Groβe
weissenburger;7;3;ìserne
weissenburger;7;4;Hofdor
weissenburger;7;5;steht
weissenburger;7;6;ìnlàdend
weissenburger;7;7;wit
weissenburger;7;8;offe
weissenburger;7;9;,
weissenburger;7;10;de
weissenburger;7;11;Hoft
