corpus_name;sentence_position;position;value
ctraining_full;1;2;é
ctraining_full;1;3;_VIRGULE_
ctraining_full;1;4;k'an
ctraining_full;1;5;pé
ctraining_full;1;6;di
ctraining_full;1;7;w
ctraining_full;1;8;ankò
ctraining_full;1;9;kòm
ctraining_full;1;10;mesaj
ctraining_full;3;2;sa
ctraining_full;3;3;nou
ctraining_full;3;4;bizwen
ctraining_full;3;5;jodla
ctraining_full;3;6;sé
ctraining_full;3;7;solidarité
ctraining_full;3;8;pou
ctraining_full;3;9;nou
ctraining_full;3;10;pé
ctraining_full;3;11;rivé
ctraining_full;4;2;piské
ctraining_full;4;3;kan
ctraining_full;4;4;yo
ctraining_full;4;5;ka
ctraining_full;4;6;di
ctraining_full;5;2;sé
ctraining_full;5;3;an
ctraining_full;5;4;lanmen
ctraining_full;5;5;ki
ctraining_full;5;6;ka
ctraining_full;5;7;lavé
ctraining_full;5;8;an
ctraining_full;5;9;lòt
ctraining_full;8;2;kom
ctraining_full;8;3;nèg
ctraining_full;8;4;maron
ctraining_full;8;5;té
ctraining_full;8;6;ka
ctraining_full;8;7;di
ctraining_full;8;8;_GUILLEMET_
ctraining_full;8;9;comme
ctraining_full;8;10;les
ctraining_full;8;11;cinq
ctraining_full;8;12;doigts
ctraining_full;8;13;de
ctraining_full;8;14;la
ctraining_full;8;15;main
ctraining_full;8;16;_GUILLEMET_
ctraining_full;10;2;sé
ctraining_full;10;3;an
ctraining_full;10;4;sèl
ctraining_full;10;5;fòs
ctraining_full;10;6;ki
ctraining_full;10;7;pé
ctraining_full;10;8;fè
ctraining_full;10;9;nou
ctraining_full;10;10;vansé
ctraining_full;11;2;ki
ctraining_full;11;3;té
ctraining_full;11;4;ka
ctraining_full;11;5;di
ctraining_full;11;6;O
ctraining_full;11;7;Zétazini
ctraining_full;11;8;Obama
ctraining_full;11;9;pasé
ctraining_full;12;2;ki_moun
ctraining_full;12;3;ki
ctraining_full;12;4;té
ctraining_full;12;5;jenm
ctraining_full;12;6;pansé
