name;full_name;description
PROPN;Nom propre;"
<p>&nbsp;</p>
<p><strong>Joel Nankin, Solitude, Gwada, Damoiseau, E.D.F.</strong></p>
<p>&nbsp;</p>"
PRON;Pronom;"
<p>Pronoms interrogatifs : <strong>Ka</strong> ou t&eacute; ka di ? (<strong>ola</strong>, <strong>kiles</strong>,<strong> ki</strong> moun, <strong>ki</strong> l&egrave;, <strong>ki</strong> tan, <strong>ki</strong> kot&eacute;, <strong>ki</strong> jou, <strong>ki </strong>jan etc.)</p>
<p>Pronoms personnels : <strong>Ou</strong> k&eacute; la &eacute; <strong>mwen</strong> l&egrave; <strong>an</strong> k&eacute; pran lanvol (<strong>Nou</strong>, <strong>i</strong>, <strong>zot)</strong></p>
<p>Pronoms possessifs : Karess <strong>aw'</strong> doudou, <strong>tan_mwen</strong>, <strong>an_mwen</strong> etc.</p>
<p>Pronoms relatifs : tiyo-la <strong>ki</strong> bouch&eacute; vy&eacute;.</p>
<p>&nbsp;</p>
<p>Autres</p>
<p>A pa <strong>sa</strong> en t&eacute; vl&eacute;</p>
<p>S&eacute; <strong>tala </strong>en t&eacute; ka v&eacute;y&eacute; (<strong>S&eacute;la</strong>)</p>
<p>an sav <strong>l&egrave;</strong> i ka riv&eacute; [<em>a ki l&egrave; ka riv&eacute; ?</em>]</p>
<p>&nbsp;</p>
<span style=""color: #cf3713;"">ATTENTION</span>
<p><strong>l&egrave;</strong> peut &ecirc;tre SCONJ, ex : <strong>l&egrave;</strong>/SCONJ la pli ka tomb&eacute;, an ka tomb&eacute; malad</p>
<p>&nbsp;</p>
<p style=""color: #cf3713;"">REMARQUE</p>
<p>deux pronoms peuvent &ecirc;tre coll&eacute;s :</p>
<p>Ex : sa+ou =&gt; sa&rsquo;w</p>
<p>&ldquo;<em>&eacute; an ka dans&eacute; s&eacute; ritm la, men si an pa ka tann </em><strong><em>sa'w/</em></strong><em>PRON+PRON ka tann&rdquo;</em></p>
<p>&nbsp;</p>"
PRON+PRON;contraction;"
<p>A pa <strong>sa&rsquo;w</strong> t&eacute; di mwen</p>
<p>Mi <strong>ta&rsquo;w</strong> mi tan mwen</p>
<p>&nbsp;</p>"
NOUN;Nom commun;"
<p>Gwada an<strong> lanbo</strong></p>
<p>si <strong>n&egrave;g</strong> pa enm&eacute; <strong>fwadi</strong> an s&egrave;ten i enm&eacute; fw&egrave;t</p>
<p>on <strong>H.L.M</strong></p>
<p>nou ka pal&eacute; <strong>krey</strong><strong>&ograve;</strong><strong>l </strong></p>
<p>&nbsp;</p>
<span style=""color: #cf3713;"">ATTENTION</span>
<p><strong>krey</strong><strong>&ograve;</strong><strong>l</strong> peut &ecirc;tre ADJ, ex : chyen <strong>krey</strong><strong>&ograve;</strong><strong>l</strong></p>
<p>&nbsp;</p>"
VERB;Verbe;"
<p>A d&eacute;fo yo ka <strong>tchenn</strong> nou an l&egrave;s &eacute; nou ka <strong>jap&eacute;</strong> l&egrave; alokasyon <strong>riv&eacute;</strong> tout moun ka <strong>p&eacute;.</strong></p>
<p>an <strong>tromp&eacute;</strong> mwen</p>
<p>Sa pa m&eacute;chan <strong>s&eacute;</strong> ri i ka ri ev&egrave;&rsquo;w</p>
<p>Ola zot t&eacute; <strong>y&eacute;</strong> ?</p>
<p>&nbsp;</p>
<span style=""color: #cf3713;"">ATTENTION</span>
<p>1- Les verbes peuvent avoir la m&ecirc;me forme que les noms</p>
<p>I adan on <strong>pal&eacute;/</strong>NOUN d&eacute;pi bo matin</p>
<p>I ka <strong>pal&eacute;</strong>/VERB d&eacute;pi bo matin</p>
<p>&nbsp;</p>
<p>Pou ki biten ou ka <strong>manj&eacute;</strong>/VERB vit kon sa</p>
<p><strong>Manj&eacute;</strong>/NOUN la ka kuit</p>
<p>&nbsp;</p>
<p>2-Ils peuvent avoir la m&ecirc;me forme que les particules</p>
<p>Zot <strong>t&eacute;</strong>/VERB piti (suivi d&rsquo;un adj =&gt; VERB)</p>
<p>Zot <strong>t&eacute;</strong>/PART pati &eacute;v&egrave; Man F&eacute;f&eacute; (suivi de VERB =&gt; PART)</p>
<p>&nbsp;</p>
<p>3-Ils peuvent &ecirc;tre accompagn&eacute;s de particules. Dans ce cas ,ils sont annot&eacute;s :</p>
<p>Ou<strong> ka</strong>/PART <strong>dispar&egrave;t</strong>/VERB, an moins tan k&egrave; ou <strong>ka/</strong>PART<strong> riv&eacute;</strong>/VERB</p>
<p>&nbsp;</p>"
VERB+PRON;contraction;"
<p>I mank&eacute; <strong>trap&eacute;&rsquo;y/</strong>VERB+PRON</p>
<p>Ou pa vw&egrave; misi&eacute; ka<strong> kouyon&eacute;&rsquo;w/</strong>VERB+PRON</p>
<p>&nbsp;</p>"
ADJ;Adjectif;"
<p>Lagwadloup&eacute;&egrave;nn s&eacute; on <strong>ti </strong>fl&egrave;, s&eacute; on <strong>ti</strong> popot <strong>dor&eacute;</strong></p>
<p>Lavi-la two <strong>kout</strong></p>
<p>Mami pa <strong>maldad</strong>, soupl&eacute; ba'y on fav&egrave;</p>
<p>Ou sav jan ti boug aw <strong>savan</strong></p>
<p>S&eacute; <strong>pr&egrave;mi&eacute;</strong> fwa i ka f&egrave; sa</p>
<p>i ka pal&eacute; <strong>f</strong><strong>&ograve;</strong></p>
<p>on <strong>s&egrave;l </strong>boug</p>
<p>&nbsp;</p>"
ADV;Adverbe;"
<p>ou ka pri&eacute; <strong>bien</strong> <strong>&eacute;vidamen </strong></p>
<p>m&eacute; p&eacute;t&egrave;t pa <strong>sifizamen</strong></p>
<p><strong>Pli </strong>gran la</p>
<p><strong>Pa</strong> ni<strong> ass&eacute;</strong> ji</p>
<p><strong>Apa </strong>sa an di&rsquo;w</p>
<p><strong>onlo </strong>moun, <strong>tibwen</strong></p>
<p><strong>menmsi</strong>...</p>
<p><strong>yinki </strong>vou an ka vw&egrave;</p>
<p><strong>janm&egrave;</strong></p>
<p>tini <strong>on_pil/onlo </strong>mango an jadin la</p>
<p>&nbsp;</p>"
PART;Particule;"
<p>Ou <strong>ka </strong>f&egrave; sa'w kw&egrave; ki mi&eacute;</p>
<p>An <strong>k&eacute; </strong>menm di'w kon sa</p>
<p>Zot <strong>t&eacute; ka</strong> pal&eacute; m&eacute; ola zot apw&eacute;zan?</p>
<p>&nbsp;</p>
<span style=""color: #cf3713;"">ATTENTION</span>
<p>Certaines particules peuvent aussi &ecirc;tre des pronoms</p>
<p><strong>Ka</strong>/PRON ou p&egrave;d la?AUX</p>
<p>An pa <strong>bizwen </strong>al&eacute; kouri</p>
<p><strong>Fo</strong> ou sav k&egrave; an sav,s&eacute; subi ou ka sibi sa</p>
<p>On ven <strong>p&egrave; </strong>pas&eacute;, chayi&eacute; tou sa ki ni</p>
<span style=""color: #cf3713;"">ATTENTION</span>
<p>Certain auxiliaires peuvent aussi &ecirc;tre des verbes.</p>
<p>An pas bizwen<strong>/AUX </strong>travay</p>
<p>An bizwen<strong>/VERB </strong>on mosso papi&eacute;</p>
<p>&nbsp;</p>
<p style=""color: #cf3713;"">REMARQUE</p>
<p>Une particule peut &ecirc;tre coll&eacute;e &agrave; un verbe :</p>
<p>yo <strong>k&rsquo;ay</strong>/PART+VERB gangn&eacute;</p>
<p>i <strong>t&eacute; ka</strong>/PART+VERB pal&eacute;</p>
<p>ou<strong> t&eacute; k&eacute; ka</strong>/PART+VERB pati</p>
<p>&nbsp;</p>"
PART+VERB;contraction;"
<p>Yo<strong> k&rsquo;ay/</strong>PART+VERB Gozi&eacute;</p>
<p>&nbsp;</p>"
