corpus_name;sentence_position;word_position;value;postag_name;confidence_score;tagger
wikipedia-janvier;1;1;S;NOUN;10;TreeTagger
wikipedia-janvier;1;2;Àtomkràftwark;NOUN;10;TreeTagger
wikipedia-janvier;1;3;vu;ADP;10;TreeTagger
wikipedia-janvier;1;4;Fassena;NOUN;10;TreeTagger
wikipedia-janvier;1;5;ìsch;VERB;10;TreeTagger
wikipedia-janvier;1;6;s;NOUN;10;TreeTagger
wikipedia-janvier;1;7;ältschta;NOUN;10;TreeTagger
wikipedia-janvier;1;8;Àtomkràftwark;NOUN;10;TreeTagger
wikipedia-janvier;1;9;ìm;ADP;10;TreeTagger
wikipedia-janvier;1;10;Frànkrìch;NOUN;10;TreeTagger
wikipedia-janvier;1;11;wo;PRON;10;TreeTagger
wikipedia-janvier;1;12;noch;ADV;10;TreeTagger
wikipedia-janvier;1;13;àktiv;ADJ;10;TreeTagger
wikipedia-janvier;1;14;ìsch;VERB;10;TreeTagger
wikipedia-janvier;1;15;.;PUNCT;10;TreeTagger
wikipedia-janvier;2;1;As;NOUN;10;TreeTagger
wikipedia-janvier;2;2;steht;VERB;10;TreeTagger
wikipedia-janvier;2;3;nava-n-em;ADJ;10;TreeTagger
wikipedia-janvier;2;4;großa;NOUN;10;TreeTagger
wikipedia-janvier;2;5;Kànàl;NOUN;10;TreeTagger
wikipedia-janvier;2;6;vum;ADP;10;TreeTagger
wikipedia-janvier;2;7;Elsàss;NOUN;10;TreeTagger
wikipedia-janvier;2;8;(;PUNCT;10;TreeTagger
wikipedia-janvier;2;9;uf;ADP;10;TreeTagger
wikipedia-janvier;2;10;Frànzeesch;NOUN;10;TreeTagger
wikipedia-janvier;2;11;:;PUNCT;10;TreeTagger
wikipedia-janvier;2;12;"""";ADJ;10;TreeTagger
wikipedia-janvier;2;13;Grand;NOUN;10;TreeTagger
wikipedia-janvier;2;14;Canal;NOUN;10;TreeTagger
wikipedia-janvier;2;15;d’;DET;10;TreeTagger
wikipedia-janvier;2;16;Alsace;NOUN;10;TreeTagger
wikipedia-janvier;2;17;"""";ADJ;10;TreeTagger
wikipedia-janvier;2;18;);PUNCT;10;TreeTagger
wikipedia-janvier;2;19;.;PUNCT;10;TreeTagger
wikipedia-janvier;3;1;Mìt;ADP;10;TreeTagger
wikipedia-janvier;3;2;sina;PRON;10;TreeTagger
wikipedia-janvier;3;3;zwei;NUM;10;TreeTagger
wikipedia-janvier;3;4;Reàktora;NOUN;10;TreeTagger
wikipedia-janvier;3;5;produziart;ADJ;10;TreeTagger
wikipedia-janvier;3;6;s;NOUN;10;TreeTagger
wikipedia-janvier;3;7;Kràftwark;NOUN;10;TreeTagger
wikipedia-janvier;3;8;a;DET;10;TreeTagger
wikipedia-janvier;3;9;Leischtung;NOUN;10;TreeTagger
wikipedia-janvier;3;10;vu;ADP;10;TreeTagger
wikipedia-janvier;3;11;1800;NUM;10;TreeTagger
wikipedia-janvier;3;12;MW;NOUN;10;TreeTagger
wikipedia-janvier;3;13;,;PUNCT;10;TreeTagger
wikipedia-janvier;3;14;dàs;PRON;10;TreeTagger
wikipedia-janvier;3;15;heißt;VERB;10;TreeTagger
wikipedia-janvier;3;16;2,88;NUM;10;TreeTagger
wikipedia-janvier;3;17;%;NOUN;10;TreeTagger
wikipedia-janvier;3;18;vu;ADP;10;TreeTagger
wikipedia-janvier;3;19;dr;DET;10;TreeTagger
wikipedia-janvier;3;20;frànzeescha;ADJ;10;TreeTagger
wikipedia-janvier;3;21;Produktion;NOUN;10;TreeTagger
wikipedia-janvier;3;22;.;PUNCT;10;TreeTagger
wikipedia-janvier;4;1;Dr;DET;10;TreeTagger
wikipedia-janvier;4;2;Präsidant;NOUN;10;TreeTagger
wikipedia-janvier;4;3;François;NOUN;10;TreeTagger
wikipedia-janvier;4;4;Hollande;NOUN;10;TreeTagger
wikipedia-janvier;4;5;hàt;VERB;10;TreeTagger
wikipedia-janvier;4;6;scho;NOUN;10;TreeTagger
wikipedia-janvier;4;7;gsajt;VERB;10;TreeTagger
wikipedia-janvier;4;8;àss;CONJ;10;TreeTagger
wikipedia-janvier;4;9;s;NOUN;10;TreeTagger
wikipedia-janvier;4;10;Àtomkràftwark;NOUN;10;TreeTagger
wikipedia-janvier;4;11;vu;ADP;10;TreeTagger
wikipedia-janvier;4;12;Fassena;NOUN;10;TreeTagger
wikipedia-janvier;4;13;bschlossa;NOUN;10;TreeTagger
wikipedia-janvier;4;14;kännt;ADJ;10;TreeTagger
wikipedia-janvier;4;15;wara;NOUN;10;TreeTagger
wikipedia-janvier;4;16;,;PUNCT;10;TreeTagger
wikipedia-janvier;4;17;sogàr;NOUN;10;TreeTagger
wikipedia-janvier;4;18;àn;ADP;10;TreeTagger
wikipedia-janvier;4;19;dr;DET;10;TreeTagger
wikipedia-janvier;4;20;Präsidantschàftswàhl;NOUN;10;TreeTagger
wikipedia-janvier;4;21;vu;ADP;10;TreeTagger
wikipedia-janvier;4;22;2012;NUM;10;TreeTagger
wikipedia-janvier;4;23;,;PUNCT;10;TreeTagger
wikipedia-janvier;4;24;àwer;CONJ;10;TreeTagger
wikipedia-janvier;4;25;s;NOUN;10;TreeTagger
wikipedia-janvier;4;26;Dàtum;NOUN;10;TreeTagger
wikipedia-janvier;4;27;vu;ADP;10;TreeTagger
wikipedia-janvier;4;28;dam;DET;10;TreeTagger
wikipedia-janvier;4;29;Bschluss;NOUN;10;TreeTagger
wikipedia-janvier;4;30;ìsch;VERB;10;TreeTagger
wikipedia-janvier;4;31;a;DET;10;TreeTagger
wikipedia-janvier;4;32;schwara;NOUN;10;TreeTagger
wikipedia-janvier;4;33;Frog;NOUN;10;TreeTagger
wikipedia-janvier;4;34;:;PUNCT;10;TreeTagger
wikipedia-janvier;4;35;üs;ADP;10;TreeTagger
wikipedia-janvier;4;36;Sìcherheit;NOUN;10;TreeTagger
wikipedia-janvier;4;37;wotta;NOUN;10;TreeTagger
wikipedia-janvier;4;38;'s;NOUN;10;TreeTagger
wikipedia-janvier;4;39;teil;PART;10;TreeTagger
wikipedia-janvier;4;40;boll;ADJ;10;TreeTagger
wikipedia-janvier;4;41;üsschàlta;NOUN;10;TreeTagger
wikipedia-janvier;4;42;,;PUNCT;10;TreeTagger
wikipedia-janvier;4;43;àwer;ADV;10;TreeTagger
wikipedia-janvier;4;44;fer;ADP;10;TreeTagger
wikipedia-janvier;4;45;d;DET;10;TreeTagger
wikipedia-janvier;4;46;Wìrtschàft;ADJ;10;TreeTagger
wikipedia-janvier;4;47;un;CONJ;10;TreeTagger
wikipedia-janvier;4;48;d;DET;10;TreeTagger
wikipedia-janvier;4;49;Àrwet;ADJ;10;TreeTagger
wikipedia-janvier;4;50;wo;PRON;10;TreeTagger
wikipedia-janvier;4;51;'s;NOUN;10;TreeTagger
wikipedia-janvier;4;52;brìngt;VERB;10;TreeTagger
wikipedia-janvier;4;53;wotta;NOUN;10;TreeTagger
wikipedia-janvier;4;54;'s;NOUN;10;TreeTagger
wikipedia-janvier;4;55;àndra;NOUN;10;TreeTagger
wikipedia-janvier;4;56;so;ADV;10;TreeTagger
wikipedia-janvier;4;57;làng;ADJ;10;TreeTagger
wikipedia-janvier;4;58;wia;NOUN;10;TreeTagger
wikipedia-janvier;4;59;meeglig;ADJ;10;TreeTagger
wikipedia-janvier;4;60;ìn;ADP;10;TreeTagger
wikipedia-janvier;4;61;Àktivität;NOUN;10;TreeTagger
wikipedia-janvier;4;62;bhàlta;VERB;10;TreeTagger
wikipedia-janvier;4;63;.;PUNCT;10;TreeTagger
wikipedia-janvier;5;1;Ànna;NOUN;10;TreeTagger
wikipedia-janvier;5;2;1962;NUM;10;TreeTagger
wikipedia-janvier;5;3;hàt;VERB;10;TreeTagger
wikipedia-janvier;5;4;d;DET;10;TreeTagger
wikipedia-janvier;5;5;EdF;NOUN;10;TreeTagger
wikipedia-janvier;5;6;(;PUNCT;10;TreeTagger
wikipedia-janvier;5;7;"""";ADJ;10;TreeTagger
wikipedia-janvier;5;8;Électricité;NOUN;10;TreeTagger
wikipedia-janvier;5;9;de;NOUN;10;TreeTagger
wikipedia-janvier;5;10;France;NOUN;10;TreeTagger
wikipedia-janvier;5;11;"""";ADJ;10;TreeTagger
wikipedia-janvier;5;12;);PUNCT;10;TreeTagger
wikipedia-janvier;5;13;s;NOUN;10;TreeTagger
wikipedia-janvier;5;14;erschta;NOUN;10;TreeTagger
wikipedia-janvier;5;15;Mol;NOUN;10;TreeTagger
wikipedia-janvier;5;16;d;DET;10;TreeTagger
wikipedia-janvier;5;17;Idee;NOUN;10;TreeTagger
wikipedia-janvier;5;18;vun'ma;NOUN;10;TreeTagger
wikipedia-janvier;5;19;Àtomkràftwark;NOUN;10;TreeTagger
wikipedia-janvier;5;20;z';ADP;10;TreeTagger
wikipedia-janvier;5;21;Fassena;NOUN;10;TreeTagger
wikipedia-janvier;5;22;vorgschlàga;NOUN;10;TreeTagger
wikipedia-janvier;5;23;.;PUNCT;10;TreeTagger
wikipedia-janvier;6;1;Si;PRON;10;TreeTagger
wikipedia-janvier;6;2;Bàui;NOUN;10;TreeTagger
wikipedia-janvier;6;3;ìsch;VERB;10;TreeTagger
wikipedia-janvier;6;4;ànna;ADP;10;TreeTagger
wikipedia-janvier;6;5;1970;NUM;10;TreeTagger
wikipedia-janvier;6;6;erlàuibt;ADJ;10;TreeTagger
wikipedia-janvier;6;7;worra;NOUN;10;TreeTagger
wikipedia-janvier;6;8;.;PUNCT;10;TreeTagger
wikipedia-janvier;7;1;Ar;PRON;10;TreeTagger
wikipedia-janvier;7;2;hàt;VERB;10;TreeTagger
wikipedia-janvier;7;3;mehr;ADV;10;TreeTagger
wikipedia-janvier;7;4;às;ADJ;10;TreeTagger
wikipedia-janvier;7;5;1;NUM;10;TreeTagger
wikipedia-janvier;7;6;Milliarda;NOUN;10;TreeTagger
wikipedia-janvier;7;7;Euro;NOUN;10;TreeTagger
wikipedia-janvier;7;8;koschta;NOUN;10;TreeTagger
wikipedia-janvier;7;9;un;CONJ;10;TreeTagger
wikipedia-janvier;7;10;ìsch;VERB;10;TreeTagger
wikipedia-janvier;7;11;vu;ADP;10;TreeTagger
wikipedia-janvier;7;12;drèi;NOUN;10;TreeTagger
wikipedia-janvier;7;13;finànziella;NOUN;10;TreeTagger
wikipedia-janvier;7;14;Pàrtner;NOUN;10;TreeTagger
wikipedia-janvier;7;15;zàhlt;ADJ;10;TreeTagger
wikipedia-janvier;7;16;worra;NOUN;10;TreeTagger
wikipedia-janvier;7;17;:;PUNCT;10;TreeTagger
wikipedia-janvier;7;18;"""";ADJ;10;TreeTagger
wikipedia-janvier;7;19;Électricité;NOUN;10;TreeTagger
wikipedia-janvier;7;20;de;NOUN;10;TreeTagger
wikipedia-janvier;7;21;France;NOUN;10;TreeTagger
wikipedia-janvier;7;22;"""";NOUN;10;TreeTagger
wikipedia-janvier;7;23;(;PUNCT;10;TreeTagger
wikipedia-janvier;7;24;67,5;NUM;10;TreeTagger
wikipedia-janvier;7;25;%;NOUN;10;TreeTagger
wikipedia-janvier;7;26;);PUNCT;10;TreeTagger
wikipedia-janvier;7;27;,;PUNCT;10;TreeTagger
wikipedia-janvier;7;28;d;PRON;10;TreeTagger
wikipedia-janvier;7;29;ditscha;NOUN;10;TreeTagger
wikipedia-janvier;7;30;Firma;NOUN;10;TreeTagger
wikipedia-janvier;7;31;"""";ADJ;10;TreeTagger
wikipedia-janvier;7;32;Badewerk;NOUN;10;TreeTagger
wikipedia-janvier;7;33;"""";NOUN;10;TreeTagger
wikipedia-janvier;7;34;,;PUNCT;10;TreeTagger
wikipedia-janvier;7;35;hüt;NOUN;10;TreeTagger
wikipedia-janvier;7;36;EnBW;NOUN;10;TreeTagger
wikipedia-janvier;7;37;(;PUNCT;10;TreeTagger
wikipedia-janvier;7;38;17,5;NUM;10;TreeTagger
wikipedia-janvier;7;39;%;NOUN;10;TreeTagger
wikipedia-janvier;7;40;);PUNCT;10;TreeTagger
wikipedia-janvier;7;41;un;CONJ;10;TreeTagger
wikipedia-janvier;7;42;a;DET;10;TreeTagger
wikipedia-janvier;7;43;Konsortium;NOUN;10;TreeTagger
wikipedia-janvier;7;44;(;PUNCT;10;TreeTagger
wikipedia-janvier;7;45;CNP;NOUN;10;TreeTagger
wikipedia-janvier;7;46;);PUNCT;10;TreeTagger
wikipedia-janvier;7;47;vu;ADP;10;TreeTagger
wikipedia-janvier;7;48;drèi;NOUN;10;TreeTagger
wikipedia-janvier;7;49;schwitzer;NOUN;10;TreeTagger
wikipedia-janvier;7;50;Firma;NOUN;10;TreeTagger
wikipedia-janvier;7;51;(;PUNCT;10;TreeTagger
wikipedia-janvier;7;52;NOK;NOUN;10;TreeTagger
wikipedia-janvier;7;53;,;PUNCT;10;TreeTagger
wikipedia-janvier;7;54;EOS;X;10;TreeTagger
wikipedia-janvier;7;55;un;CONJ;10;TreeTagger
wikipedia-janvier;7;56;BKW;NOUN;10;TreeTagger
wikipedia-janvier;7;57;);PUNCT;10;TreeTagger
wikipedia-janvier;7;58;(;PUNCT;10;TreeTagger
wikipedia-janvier;7;59;15,0;NUM;10;TreeTagger
wikipedia-janvier;7;60;%;NOUN;10;TreeTagger
wikipedia-janvier;7;61;);PUNCT;10;TreeTagger
wikipedia-janvier;7;62;.;PUNCT;10;TreeTagger
wikipedia-janvier;8;1;D;DET;10;TreeTagger
wikipedia-janvier;8;2;Stromproduktion;NOUN;10;TreeTagger
wikipedia-janvier;8;3;hàt;VERB;10;TreeTagger
wikipedia-janvier;8;4;ànna;ADP;10;TreeTagger
wikipedia-janvier;8;5;1977;NUM;10;TreeTagger
wikipedia-janvier;8;6;ààgfànga;NOUN;10;TreeTagger
wikipedia-janvier;8;7;.;PUNCT;10;TreeTagger
wikipedia-janvier;9;1;Àlla;ADJ;10;TreeTagger
wikipedia-janvier;9;2;zeh;NOUN;10;TreeTagger
wikipedia-janvier;9;3;Johr;NOUN;10;TreeTagger
wikipedia-janvier;9;4;gìtt;NOUN;10;TreeTagger
wikipedia-janvier;9;5;'s;NOUN;10;TreeTagger
wikipedia-janvier;9;6;a;DET;10;TreeTagger
wikipedia-janvier;9;7;technicka;ADJ;10;TreeTagger
wikipedia-janvier;9;8;Besüech;NOUN;10;TreeTagger
wikipedia-janvier;9;9;vum;ADP;10;TreeTagger
wikipedia-janvier;9;10;Kràftwark;NOUN;10;TreeTagger
wikipedia-janvier;9;11;,;PUNCT;10;TreeTagger
wikipedia-janvier;9;12;wo;PRON;10;TreeTagger
wikipedia-janvier;9;13;àlles;ADJ;10;TreeTagger
wikipedia-janvier;9;14;nohglüegt;NOUN;10;TreeTagger
wikipedia-janvier;9;15;wìrd;VERB;10;TreeTagger
wikipedia-janvier;9;16;,;PUNCT;10;TreeTagger
wikipedia-janvier;9;17;fer;ADP;10;TreeTagger
wikipedia-janvier;9;18;d;DET;10;TreeTagger
wikipedia-janvier;9;19;Sìcherheit;NOUN;10;TreeTagger
wikipedia-janvier;9;20;vu;ADP;10;TreeTagger
wikipedia-janvier;9;21;dr;DET;10;TreeTagger
