corpus_name;sentence_position;word_position;value;postag_name;confidence_score
Hoflieferant_p53;1;1;Brüchsch;VERB;100
Hoflieferant_p53;1;2;kenn;DET;100
Hoflieferant_p53;1;3;Angscht;NOUN;100
Hoflieferant_p53;1;4;ze;ADP;100
Hoflieferant_p53;1;5;han;VERB;100
Hoflieferant_p53;1;6;for;ADP;100
Hoflieferant_p53;1;7;mich;PRON;100
Hoflieferant_p53;1;8;,;PUNCT;100
Hoflieferant_p53;1;9;papa;NOUN;100
Hoflieferant_p53;1;10;.;PUNCT;100
Hoflieferant_p53;2;1;Ich;PRON;100
Hoflieferant_p53;2;2;hab;VERB;100
Hoflieferant_p53;2;3;eini;PRON;100
Hoflieferant_p53;2;4;im;ADP;100
Hoflieferant_p53;2;5;Au;NOUN;100
Hoflieferant_p53;2;6;,;PUNCT;100
Hoflieferant_p53;2;7;wie;PRON;100
Hoflieferant_p53;2;8;sowohl;SCONJ;100
Hoflieferant_p53;2;9;vum;ADP;100
Hoflieferant_p53;2;10;wisseschaftliche;ADJ;100
Hoflieferant_p53;2;11;,;PUNCT;100
Hoflieferant_p53;2;12;als;SCONJ;100
Hoflieferant_p53;2;13;au;ADV;100
Hoflieferant_p53;2;14;vum;ADP;100
Hoflieferant_p53;2;15;praktische;ADJ;100
Hoflieferant_p53;2;16;unn;CONJ;100
Hoflieferant_p53;2;17;vum;ADP;100
Hoflieferant_p53;2;18;menschliche;ADJ;100
Hoflieferant_p53;2;19;Standpunkt;NOUN;100
Hoflieferant_p53;2;20;üs;ADP;100
Hoflieferant_p53;2;21;mine-n-;DET;100
Hoflieferant_p53;2;22;Anforderunge;NOUN;100
Hoflieferant_p53;2;23;entschpricht;VERB;100
Hoflieferant_p53;2;24;.;PUNCT;100
Hoflieferant_p53;3;1;Unn;CONJ;100
Hoflieferant_p53;3;2;ich;PRON;100
Hoflieferant_p53;3;3;hab;AUX;100
Hoflieferant_p53;3;4;hytt;ADV;100
Hoflieferant_p53;3;5;de-n-;DET;100
Hoflieferant_p53;3;6;Entschluss;NOUN;100
