corpus_name;sentence_position;position;value
Altweltgeier;1;1;D
Altweltgeier;1;2;Àltwaltgaijer
Altweltgeier;1;3;(
Altweltgeier;1;4;Aegypiinae
Altweltgeier;1;5;,
Altweltgeier;1;6;en
Altweltgeier;1;7;dr
Altweltgeier;1;8;meischte
Altweltgeier;1;9;àlemànnische
Altweltgeier;1;10;Dialakt
Altweltgeier;1;11;„
Altweltgeier;1;12;Ààsgaier
Altweltgeier;1;13;“
Altweltgeier;1;14;)
Altweltgeier;1;15;sen
Altweltgeier;1;16;e
Altweltgeier;1;17;Unterfamilie
Altweltgeier;1;18;vun
Altweltgeier;1;19;dr
Altweltgeier;1;20;Habischtartige
Altweltgeier;1;21;(
Altweltgeier;1;22;Accipitridae
Altweltgeier;1;23;)
Altweltgeier;1;24;un
Altweltgeier;1;25;gheren
Altweltgeier;1;26;dodemet
Altweltgeier;1;27;züe
Altweltgeier;1;28;dr
Altweltgeier;1;29;Griffveegel
Altweltgeier;1;30;(
Altweltgeier;1;31;Falconiformes
Altweltgeier;1;32;)
Altweltgeier;1;33;.
Altweltgeier;2;1;Dia
Altweltgeier;2;2;Gaijer
Altweltgeier;2;3;senn
Altweltgeier;2;4;Ààsfrasser
Altweltgeier;2;5;wia
Altweltgeier;2;6;’s
Altweltgeier;2;7;era
Altweltgeier;2;8;Nàma
Altweltgeier;2;9;(
Altweltgeier;2;10;„
Altweltgeier;2;11;Ààsgaier
Altweltgeier;2;12;“
Altweltgeier;2;13;)
Altweltgeier;2;14;schu
Altweltgeier;2;15;vorsait
Altweltgeier;2;16;.
Altweltgeier;3;1;Se
Altweltgeier;3;2;versahn
Altweltgeier;3;3;sech
Altweltgeier;3;4;hàuiptsachlig
Altweltgeier;3;5;nur
Altweltgeier;3;6;met
Altweltgeier;3;7;totem
Altweltgeier;3;8;Veh
Altweltgeier;3;9;.
Altweltgeier;4;1;Züadam
Altweltgeier;4;2;dàss
Altweltgeier;4;3;sa
Altweltgeier;4;4;n-a
Altweltgeier;4;5;sehr
Altweltgeier;4;6;schlachter
Altweltgeier;4;7;Rüaf
Altweltgeier;4;8;hann
Altweltgeier;4;9;,
Altweltgeier;4;10;esch
Altweltgeier;4;11;dàs
Altweltgeier;4;12;Veh
Altweltgeier;4;13;sehr
Altweltgeier;4;14;netzlig
Altweltgeier;4;15;,
Altweltgeier;4;16;un
Altweltgeier;4;17;dàss
Altweltgeier;4;18;fer
Altweltgeier;4;19;um
Altweltgeier;4;20;d’r
Altweltgeier;4;21;Gsundhaitszüaschtànd
Altweltgeier;4;22;vu
Altweltgeier;4;23;d’r
Altweltgeier;4;24;Nàtür
Altweltgeier;4;25;z’
Altweltgeier;4;26;bsorga
Altweltgeier;4;27;un
Altweltgeier;4;28;d’
Altweltgeier;4;29;àndra
Altweltgeier;4;30;Tiarer
Altweltgeier;4;31;un
Altweltgeier;4;32;d’
Altweltgeier;4;33;Mänscha-n-o
Altweltgeier;4;34;vor
Altweltgeier;4;35;da
Altweltgeier;4;36;schlemmschta
Altweltgeier;4;37;Krànketa
Altweltgeier;4;38;z’
Altweltgeier;4;39;bschetza
Altweltgeier;4;40;.
Altweltgeier;5;1;Nit
Altweltgeier;5;2;verwàndt
Altweltgeier;5;3;met
Altweltgeier;5;4;dr
Altweltgeier;5;5;Àltwaltgaijer
Altweltgeier;5;6;sen
Altweltgeier;5;7;d
Altweltgeier;5;8;Nejwaltgaijer
Altweltgeier;5;9;(
Altweltgeier;5;10;Cathartidae
Altweltgeier;5;11;)
Altweltgeier;5;12;,
Altweltgeier;5;13;wu
Altweltgeier;5;14;e
Altweltgeier;5;15;eigene
Altweltgeier;5;16;Familie
Altweltgeier;5;17;belde
Altweltgeier;5;18;vun
Altweltgeier;5;19;dr
Altweltgeier;5;20;Griffveegel
Altweltgeier;5;21;.
Altweltgeier;6;1;Üsser
Altweltgeier;6;2;a
Altweltgeier;6;3;pààr
Altweltgeier;6;4;Üssnàhma
Altweltgeier;6;5;hàtt
Altweltgeier;6;6;da
Altweltgeier;6;7;Vogel
Altweltgeier;6;8;à
Altweltgeier;6;9;lànger
Altweltgeier;6;10;Hàls
Altweltgeier;6;11;ohna
Altweltgeier;6;12;Fadra
Altweltgeier;6;13;,
Altweltgeier;6;14;dàss
Altweltgeier;6;15;ärlàuibt
Altweltgeier;6;16;ehm
Altweltgeier;6;17;z’
Altweltgeier;6;18;känna
Altweltgeier;6;19;en
Altweltgeier;6;20;da
Altweltgeier;6;21;Gedarm
Altweltgeier;6;22;umma
Altweltgeier;6;23;fuchtla
Altweltgeier;6;24;vum
Altweltgeier;6;25;tota
Altweltgeier;6;26;Veh
Altweltgeier;6;27;,
Altweltgeier;6;28;d’
Altweltgeier;6;29;Greesa
Altweltgeier;6;30;schpeelt
Altweltgeier;6;31;do
Altweltgeier;6;32;d’r
Altweltgeier;6;33;bi
Altweltgeier;6;34;kai
Altweltgeier;6;35;Rolla
Altweltgeier;6;36;.
Altweltgeier;7;1;En
Altweltgeier;7;2;dàm
Altweltgeier;7;3;àss
Altweltgeier;7;4;sa
Altweltgeier;7;5;Fleegel
