corpus_name;sentence_position;position;value
Altweltgeier;128;1;S’
Altweltgeier;128;2;unbefaderta
Altweltgeier;128;3;Tail
Altweltgeier;128;4;vu
Altweltgeier;128;5;Bai
Altweltgeier;128;6;un
Altweltgeier;128;7;Zecha
Altweltgeier;128;8;sen
Altweltgeier;128;9;Rosarot
Altweltgeier;128;10;.
Altweltgeier;129;1;D’r
Altweltgeier;129;2;Wullakopfgaijer
Altweltgeier;129;3;zehlt
Altweltgeier;129;4;zu
Altweltgeier;129;5;da
Altweltgeier;129;6;mettelgroosa
Altweltgeier;129;7;Àltwaltgaijer
Altweltgeier;129;8;met
Altweltgeier;129;9;sinra
Altweltgeier;129;10;Fleegelschpànnwitta
Altweltgeier;129;11;vu
Altweltgeier;129;12;2,03
Altweltgeier;129;13;bis
Altweltgeier;129;14;2,23
Altweltgeier;129;15;m
Altweltgeier;129;16;,
Altweltgeier;129;17;si
Altweltgeier;129;18;Gwecht
Altweltgeier;129;19;vu
Altweltgeier;129;20;3,3
Altweltgeier;129;21;bis
Altweltgeier;129;22;5,3
Altweltgeier;129;23;kg
Altweltgeier;129;24;un
Altweltgeier;129;25;sina
Altweltgeier;129;26;Länga
Altweltgeier;129;27;bis
Altweltgeier;129;28;zu
Altweltgeier;129;29;zirka
Altweltgeier;129;30;80
Altweltgeier;129;31;zm
Altweltgeier;129;32;.
Altweltgeier;130;1;Ar
Altweltgeier;130;2;labt
Altweltgeier;130;3;allai
Altweltgeier;130;4;odder
Altweltgeier;130;5;en
Altweltgeier;130;6;Paarla
Altweltgeier;130;7;,
Altweltgeier;130;8;mehrera
Altweltgeier;130;9;zamma
Altweltgeier;130;10;fendet
Altweltgeier;130;11;ma
Altweltgeier;130;12;herschtens
Altweltgeier;130;13;an
Altweltgeier;130;14;d’r
Altweltgeier;130;15;Tranka
Altweltgeier;130;16;odder
Altweltgeier;130;17;àm
Altweltgeier;130;18;Ààs
Altweltgeier;130;19;,
Altweltgeier;130;20;vu
Altweltgeier;130;21;sa
Altweltgeier;130;22;gwenlig
Altweltgeier;130;23;àm
Altweltgeier;130;24;ärschta
Altweltgeier;130;25;senn
Altweltgeier;130;26;,
Altweltgeier;130;27;dänn
Altweltgeier;130;28;erna
Altweltgeier;130;29;fäschta
Altweltgeier;130;30;Schnàwel
Altweltgeier;130;31;ärlàuibt
Altweltgeier;130;32;na
Altweltgeier;130;33;d’
Altweltgeier;130;34;hächta
Altweltgeier;130;35;Hütt
Altweltgeier;130;36;vum
Altweltgeier;130;37;verräckta
Altweltgeier;130;38;Veh
Altweltgeier;130;39;uffzschlanza
Altweltgeier;130;40;.
Altweltgeier;131;1;Da
Altweltgeier;131;2;Vogel
Altweltgeier;131;3;fresst
Altweltgeier;131;4;sozusààga
Altweltgeier;131;5;àlles
Altweltgeier;131;6;vum
Altweltgeier;131;7;Kàdàwer
Altweltgeier;131;8;bis
Altweltgeier;131;9;tailwis
Altweltgeier;131;10;zu
Altweltgeier;131;11;da
Altweltgeier;131;12;Knocha
Altweltgeier;131;13;.
Altweltgeier;132;1;Uff
Altweltgeier;132;2;sinra
Altweltgeier;132;3;Asskàrta
Altweltgeier;132;4;schtehn
Altweltgeier;132;5;o
Altweltgeier;132;6;d’
Altweltgeier;132;7;àgschwämmta
Altweltgeier;132;8;Fesch
Altweltgeier;132;9;,
Altweltgeier;132;10;groosa
Altweltgeier;132;11;Ensäkta
Altweltgeier;132;12;un
Altweltgeier;132;13;àndra
Altweltgeier;132;14;Räptila
Altweltgeier;132;15;un
Altweltgeier;132;16;Sügtiarla
Altweltgeier;132;17;.
Altweltgeier;133;1;S’
Altweltgeier;133;2;Nascht
Altweltgeier;133;3;boit
Altweltgeier;133;4;ar
Altweltgeier;133;5;à
Altweltgeier;133;6;uff
Altweltgeier;133;7;hocha
Altweltgeier;133;8;Baim
Altweltgeier;133;9;mett
Altweltgeier;133;10;flàcha
Altweltgeier;133;11;Dolder
Altweltgeier;133;12;met
Altweltgeier;133;13;gedornta
Altweltgeier;133;14;Zwigla
Altweltgeier;133;15;un
Altweltgeier;133;16;polschtert
Altweltgeier;133;17;sa
Altweltgeier;133;18;üss
Altweltgeier;133;19;met
Altweltgeier;133;20;Hai
Altweltgeier;133;21;.
Altweltgeier;134;1;Àbwackselnt
Altweltgeier;134;2;briadla
Altweltgeier;134;3;sa
Altweltgeier;134;4;era
Altweltgeier;134;5;Ai
Altweltgeier;134;6;üss
Altweltgeier;134;7;warend
Altweltgeier;134;8;51
Altweltgeier;134;9;bis
Altweltgeier;134;10;56
Altweltgeier;134;11;Tag
Altweltgeier;134;12;.
Altweltgeier;135;1;D’r
Altweltgeier;135;2;Jungvogel
Altweltgeier;135;3;blibt
Altweltgeier;135;4;Naschtleng
Altweltgeier;135;5;bis
Altweltgeier;135;6;zu
Altweltgeier;135;7;120
Altweltgeier;135;8;Tag
Altweltgeier;135;9;.
Altweltgeier;136;1;Si
Altweltgeier;136;2;Verbraitungsgebiat
Altweltgeier;136;3;legt
Altweltgeier;136;4;südlig
Altweltgeier;136;5;vum
Altweltgeier;136;6;Sahara
Altweltgeier;136;7;em
Altweltgeier;136;8;gànza
Altweltgeier;136;9;Untertail
Altweltgeier;136;10;vu
Altweltgeier;136;11;Àfrik
Altweltgeier;136;12;.
Altweltgeier;137;1;D’r
Altweltgeier;137;2;Bluttkopfgaijer
Altweltgeier;137;3;esch
Altweltgeier;137;4;d’
Altweltgeier;137;5;ainsigschta-n-Àrt
Altweltgeier;137;6;vu
Altweltgeier;137;7;sinra
Altweltgeier;137;8;Gàttung
Altweltgeier;137;9;.
Altweltgeier;138;1;Wia
Altweltgeier;138;2;’s
Altweltgeier;138;3;si
Altweltgeier;138;4;Nàmma
Altweltgeier;138;5;düat
Altweltgeier;138;6;betoona
Altweltgeier;138;7;esch
Altweltgeier;138;8;si
Altweltgeier;138;9;Kopf
Altweltgeier;138;10;blutt
Altweltgeier;138;11;bis
Altweltgeier;138;12;hàlbwaags
Altweltgeier;138;13;Hàls
Altweltgeier;138;14;,
Altweltgeier;138;15;schtàrk
Altweltgeier;138;16;rotgfarbt
Altweltgeier;138;17;un
Altweltgeier;138;18;uff
Altweltgeier;138;19;jeedra
Altweltgeier;138;20;Sitta
Altweltgeier;138;21;vu
Altweltgeier;138;22;da
Altweltgeier;138;23;Bàcka
Altweltgeier;138;24;hanka
Altweltgeier;138;25;zwai
Altweltgeier;138;26;groosa
Altweltgeier;138;27;Làppa
Altweltgeier;138;28;àwa
Altweltgeier;138;29;.
Altweltgeier;139;1;D’r
Altweltgeier;139;2;schwàrza
Altweltgeier;139;3;Krànz
Altweltgeier;139;4;um
Altweltgeier;139;5;s’
Altweltgeier;139;6;Untertail
Altweltgeier;139;7;vum
Altweltgeier;139;8;Hàls
Altweltgeier;139;9;andet
Altweltgeier;139;10;sech
Altweltgeier;139;11;met
Altweltgeier;139;12;ma
Altweltgeier;139;13;wissa
Altweltgeier;139;14;Hàlbkrais
Altweltgeier;139;15;uff
Altweltgeier;139;16;d’r
Altweltgeier;139;17;Bruscht
Altweltgeier;139;18;.
Altweltgeier;140;1;D’r
Altweltgeier;140;2;Rascht
Altweltgeier;140;3;vum
Altweltgeier;140;4;Gfader
Altweltgeier;140;5;esch
Altweltgeier;140;6;schwàrz
Altweltgeier;140;7;.
Altweltgeier;141;1;Zwai
Altweltgeier;141;2;wissa
Altweltgeier;141;3;Flacka
Altweltgeier;141;4;unterschtricha
Altweltgeier;141;5;d’
Altweltgeier;141;6;Glanker
Altweltgeier;141;7;.
Altweltgeier;142;1;D’
Altweltgeier;142;2;Tàtza
Altweltgeier;142;3;un
Altweltgeier;142;4;Kràlla
Altweltgeier;142;5;sen
Altweltgeier;142;6;rot
Altweltgeier;142;7;.
Altweltgeier;143;1;Da
Altweltgeier;143;2;Gaijer
Altweltgeier;143;3;esch
Altweltgeier;143;4;a-n-Ainzelganger
Altweltgeier;143;5;,
Altweltgeier;143;6;dänn
Altweltgeier;143;7;ma
Altweltgeier;143;8;trefft
Altweltgeier;143;9;na
Altweltgeier;143;10;net
Altweltgeier;143;11;villmohl
Altweltgeier;143;12;en
Altweltgeier;143;13;Treppala
Altweltgeier;143;14;à
Altweltgeier;143;15;.
Altweltgeier;144;1;Ar
Altweltgeier;144;2;seegelt
Altweltgeier;144;3;schtundalàng
Altweltgeier;144;4;ohna
Altweltgeier;144;5;ai
Altweltgeier;144;6;Fattigschlààg
Altweltgeier;144;7;uff
Altweltgeier;144;8;d’r
Altweltgeier;144;9;süach
Altweltgeier;144;10;vu
Altweltgeier;144;11;sim
Altweltgeier;144;12;Frassa
Altweltgeier;144;13;.
Altweltgeier;145;1;Naschta
Altweltgeier;145;2;düat
Altweltgeier;145;3;’r
Altweltgeier;145;4;em
Altweltgeier;145;5;ewra
Altweltgeier;145;6;vu
Altweltgeier;145;7;da
Altweltgeier;145;8;Baim
Altweltgeier;145;9;salta
Altweltgeier;145;10;hecher
Altweltgeier;145;11;àss
Altweltgeier;145;12;3
Altweltgeier;145;13;m.
Altweltgeier;145;14;Befohr
Altweltgeier;145;15;àss
Altweltgeier;145;16;s’
Altweltgeier;145;17;Nascht
Altweltgeier;145;18;geboija
Altweltgeier;145;19;werd
Altweltgeier;145;20;kummt
Altweltgeier;145;21;’s
Altweltgeier;145;22;zum
Altweltgeier;145;23;à
Altweltgeier;145;24;lànger
Altweltgeier;145;25;Ttàuijungsflug
Altweltgeier;145;26;.
Altweltgeier;146;1;S’
Altweltgeier;146;2;Ai
Altweltgeier;146;3;wird
Altweltgeier;146;4;45
Altweltgeier;146;5;Tag
Altweltgeier;146;6;gebriadelt
Altweltgeier;146;7;am
Altweltgeier;146;8;Tàg
Altweltgeier;146;9;dura
Altweltgeier;146;10;durch
Altweltgeier;146;11;s’
Altweltgeier;146;12;Mannla
Altweltgeier;146;13;unz’
Altweltgeier;146;14;Nàcht
Altweltgeier;146;15;durch
Altweltgeier;146;16;s’
Altweltgeier;146;17;Wiwla
Altweltgeier;146;18;.
Altweltgeier;147;1;Ar
Altweltgeier;147;2;labt
Altweltgeier;147;3;garn
Altweltgeier;147;4;en
Altweltgeier;147;5;da
Altweltgeier;147;6;Hàlbwiaschta
Altweltgeier;147;7;met
Altweltgeier;147;8;Gebesch
Altweltgeier;147;9;,
Altweltgeier;147;10;uff
Altweltgeier;147;11;da
Altweltgeier;147;12;begrààsta
Altweltgeier;147;13;Gfäller
Altweltgeier;147;14;un
Altweltgeier;147;15;en
Altweltgeier;147;16;da
Altweltgeier;147;17;haitra
Altweltgeier;147;18;Walder
Altweltgeier;147;19;net
Altweltgeier;147;20;witt
Altweltgeier;147;21;vu
Altweltgeier;147;22;ma
Altweltgeier;147;23;Wàsserlàuif
Altweltgeier;147;24;.
Altweltgeier;147;25;un
Altweltgeier;147;26;emmer
Altweltgeier;147;27;unter
Altweltgeier;147;28;2500
Altweltgeier;147;29;m.D’r
Altweltgeier;147;30;Bluttkopfgaijer
Altweltgeier;147;31;be
Altweltgeier;147;32;wohnt
Altweltgeier;147;33;Endia
Altweltgeier;147;34;un
Altweltgeier;147;35;d’
Altweltgeier;147;36;Wäschtliga
Altweltgeier;147;37;Sitta
Altweltgeier;147;38;vu
Altweltgeier;147;39;Àsia
Altweltgeier;147;40;.
Altweltgeier;148;1;Da
Altweltgeier;148;2;Vogel
Altweltgeier;148;3;esch
Altweltgeier;148;4;o
Altweltgeier;148;5;gedroht
Altweltgeier;148;6;vorem
Altweltgeier;148;7;Üsschtarwa
Altweltgeier;148;8;dur
Altweltgeier;148;9;d’
Altweltgeier;148;10;Àbwackslung
Altweltgeier;148;11;vu
Altweltgeier;148;12;d’r
Altweltgeier;148;13;Booda
Altweltgeier;148;14;bunutzung
Altweltgeier;148;15;.
