corpus_name;sentence_position;position;value
wikipedia-janvier;1;1;S
wikipedia-janvier;1;2;Àtomkràftwark
wikipedia-janvier;1;3;vu
wikipedia-janvier;1;4;Fassena
wikipedia-janvier;1;5;ìsch
wikipedia-janvier;1;6;s
wikipedia-janvier;1;7;ältschta
wikipedia-janvier;1;8;Àtomkràftwark
wikipedia-janvier;1;9;ìm
wikipedia-janvier;1;10;Frànkrìch
wikipedia-janvier;1;11;wo
wikipedia-janvier;1;12;noch
wikipedia-janvier;1;13;àktiv
wikipedia-janvier;1;14;ìsch
wikipedia-janvier;1;15;.
wikipedia-janvier;2;1;As
wikipedia-janvier;2;2;steht
wikipedia-janvier;2;3;nava-n-em
wikipedia-janvier;2;4;großa
wikipedia-janvier;2;5;Kànàl
wikipedia-janvier;2;6;vum
wikipedia-janvier;2;7;Elsàss
wikipedia-janvier;2;8;(
wikipedia-janvier;2;9;uf
wikipedia-janvier;2;10;Frànzeesch
wikipedia-janvier;2;11;:
wikipedia-janvier;2;12;""""
wikipedia-janvier;2;13;Grand
wikipedia-janvier;2;14;Canal
wikipedia-janvier;2;15;d’
wikipedia-janvier;2;16;Alsace
wikipedia-janvier;2;17;""""
wikipedia-janvier;2;18;)
wikipedia-janvier;2;19;.
wikipedia-janvier;3;1;Mìt
wikipedia-janvier;3;2;sina
wikipedia-janvier;3;3;zwei
wikipedia-janvier;3;4;Reàktora
wikipedia-janvier;3;5;produziart
wikipedia-janvier;3;6;s
wikipedia-janvier;3;7;Kràftwark
wikipedia-janvier;3;8;a
wikipedia-janvier;3;9;Leischtung
wikipedia-janvier;3;10;vu
wikipedia-janvier;3;11;1800
wikipedia-janvier;3;12;MW
wikipedia-janvier;3;13;,
wikipedia-janvier;3;14;dàs
wikipedia-janvier;3;15;heißt
wikipedia-janvier;3;16;2,88
wikipedia-janvier;3;17;%
wikipedia-janvier;3;18;vu
wikipedia-janvier;3;19;dr
wikipedia-janvier;3;20;frànzeescha
wikipedia-janvier;3;21;Produktion
wikipedia-janvier;3;22;.
wikipedia-janvier;4;1;Dr
wikipedia-janvier;4;2;Präsidant
wikipedia-janvier;4;3;François
wikipedia-janvier;4;4;Hollande
wikipedia-janvier;4;5;hàt
wikipedia-janvier;4;6;scho
wikipedia-janvier;4;7;gsajt
wikipedia-janvier;4;8;àss
wikipedia-janvier;4;9;s
wikipedia-janvier;4;10;Àtomkràftwark
wikipedia-janvier;4;11;vu
wikipedia-janvier;4;12;Fassena
wikipedia-janvier;4;13;bschlossa
wikipedia-janvier;4;14;kännt
wikipedia-janvier;4;15;wara
wikipedia-janvier;4;16;,
wikipedia-janvier;4;17;sogàr
wikipedia-janvier;4;18;àn
wikipedia-janvier;4;19;dr
wikipedia-janvier;4;20;Präsidantschàftswàhl
wikipedia-janvier;4;21;vu
wikipedia-janvier;4;22;2012
wikipedia-janvier;4;23;,
wikipedia-janvier;4;24;àwer
wikipedia-janvier;4;25;s
wikipedia-janvier;4;26;Dàtum
wikipedia-janvier;4;27;vu
wikipedia-janvier;4;28;dam
wikipedia-janvier;4;29;Bschluss
wikipedia-janvier;4;30;ìsch
wikipedia-janvier;4;31;a
wikipedia-janvier;4;32;schwara
wikipedia-janvier;4;33;Frog
wikipedia-janvier;4;34;:
wikipedia-janvier;4;35;üs
wikipedia-janvier;4;36;Sìcherheit
wikipedia-janvier;4;37;wotta
wikipedia-janvier;4;38;'s
wikipedia-janvier;4;39;teil
wikipedia-janvier;4;40;boll
wikipedia-janvier;4;41;üsschàlta
wikipedia-janvier;4;42;,
wikipedia-janvier;4;43;àwer
wikipedia-janvier;4;44;fer
wikipedia-janvier;4;45;d
wikipedia-janvier;4;46;Wìrtschàft
wikipedia-janvier;4;47;un
wikipedia-janvier;4;48;d
wikipedia-janvier;4;49;Àrwet
wikipedia-janvier;4;50;wo
wikipedia-janvier;4;51;'s
wikipedia-janvier;4;52;brìngt
wikipedia-janvier;4;53;wotta
wikipedia-janvier;4;54;'s
wikipedia-janvier;4;55;àndra
wikipedia-janvier;4;56;so
wikipedia-janvier;4;57;làng
wikipedia-janvier;4;58;wia
wikipedia-janvier;4;59;meeglig
wikipedia-janvier;4;60;ìn
wikipedia-janvier;4;61;Àktivität
wikipedia-janvier;4;62;bhàlta
wikipedia-janvier;4;63;.
wikipedia-janvier;5;1;Ànna
wikipedia-janvier;5;2;1962
wikipedia-janvier;5;3;hàt
wikipedia-janvier;5;4;d
wikipedia-janvier;5;5;EdF
wikipedia-janvier;5;6;(
wikipedia-janvier;5;7;""""
wikipedia-janvier;5;8;Électricité
wikipedia-janvier;5;9;de
wikipedia-janvier;5;10;France
wikipedia-janvier;5;11;""""
wikipedia-janvier;5;12;)
wikipedia-janvier;5;13;s
wikipedia-janvier;5;14;erschta
wikipedia-janvier;5;15;Mol
wikipedia-janvier;5;16;d
wikipedia-janvier;5;17;Idee
wikipedia-janvier;5;18;vun'ma
wikipedia-janvier;5;19;Àtomkràftwark
wikipedia-janvier;5;20;z'
wikipedia-janvier;5;21;Fassena
wikipedia-janvier;5;22;vorgschlàga
wikipedia-janvier;5;23;.
wikipedia-janvier;6;1;Si
wikipedia-janvier;6;2;Bàui
wikipedia-janvier;6;3;ìsch
wikipedia-janvier;6;4;ànna
wikipedia-janvier;6;5;1970
wikipedia-janvier;6;6;erlàuibt
wikipedia-janvier;6;7;worra
wikipedia-janvier;6;8;.
wikipedia-janvier;7;1;Ar
wikipedia-janvier;7;2;hàt
wikipedia-janvier;7;3;mehr
wikipedia-janvier;7;4;às
wikipedia-janvier;7;5;1
wikipedia-janvier;7;6;Milliarda
wikipedia-janvier;7;7;Euro
wikipedia-janvier;7;8;koschta
wikipedia-janvier;7;9;un
wikipedia-janvier;7;10;ìsch
wikipedia-janvier;7;11;vu
wikipedia-janvier;7;12;drèi
wikipedia-janvier;7;13;finànziella
wikipedia-janvier;7;14;Pàrtner
wikipedia-janvier;7;15;zàhlt
wikipedia-janvier;7;16;worra
wikipedia-janvier;7;17;:
wikipedia-janvier;7;18;""""
wikipedia-janvier;7;19;Électricité
wikipedia-janvier;7;20;de
wikipedia-janvier;7;21;France
wikipedia-janvier;7;22;""""
wikipedia-janvier;7;23;(
wikipedia-janvier;7;24;67,5
wikipedia-janvier;7;25;%
wikipedia-janvier;7;26;)
wikipedia-janvier;7;27;,
wikipedia-janvier;7;28;d
wikipedia-janvier;7;29;ditscha
wikipedia-janvier;7;30;Firma
wikipedia-janvier;7;31;""""
wikipedia-janvier;7;32;Badewerk
wikipedia-janvier;7;33;""""
wikipedia-janvier;7;34;,
wikipedia-janvier;7;35;hüt
wikipedia-janvier;7;36;EnBW
wikipedia-janvier;7;37;(
wikipedia-janvier;7;38;17,5
wikipedia-janvier;7;39;%
wikipedia-janvier;7;40;)
wikipedia-janvier;7;41;un
wikipedia-janvier;7;42;a
wikipedia-janvier;7;43;Konsortium
wikipedia-janvier;7;44;(
wikipedia-janvier;7;45;CNP
wikipedia-janvier;7;46;)
wikipedia-janvier;7;47;vu
wikipedia-janvier;7;48;drèi
wikipedia-janvier;7;49;schwitzer
wikipedia-janvier;7;50;Firma
wikipedia-janvier;7;51;(
wikipedia-janvier;7;52;NOK
wikipedia-janvier;7;53;,
wikipedia-janvier;7;54;EOS
wikipedia-janvier;7;55;un
wikipedia-janvier;7;56;BKW
wikipedia-janvier;7;57;)
wikipedia-janvier;7;58;(
wikipedia-janvier;7;59;15,0
wikipedia-janvier;7;60;%
wikipedia-janvier;7;61;)
wikipedia-janvier;7;62;.
wikipedia-janvier;8;1;D
wikipedia-janvier;8;2;Stromproduktion
wikipedia-janvier;8;3;hàt
wikipedia-janvier;8;4;ànna
wikipedia-janvier;8;5;1977
wikipedia-janvier;8;6;ààgfànga
wikipedia-janvier;8;7;.
wikipedia-janvier;9;1;Àlla
wikipedia-janvier;9;2;zeh
wikipedia-janvier;9;3;Johr
wikipedia-janvier;9;4;gìtt
wikipedia-janvier;9;5;'s
wikipedia-janvier;9;6;a
wikipedia-janvier;9;7;technicka
wikipedia-janvier;9;8;Besüech
wikipedia-janvier;9;9;vum
wikipedia-janvier;9;10;Kràftwark
wikipedia-janvier;9;11;,
wikipedia-janvier;9;12;wo
wikipedia-janvier;9;13;àlles
wikipedia-janvier;9;14;nohglüegt
wikipedia-janvier;9;15;wìrd
wikipedia-janvier;9;16;,
wikipedia-janvier;9;17;fer
wikipedia-janvier;9;18;d
wikipedia-janvier;9;19;Sìcherheit
wikipedia-janvier;9;20;vu
wikipedia-janvier;9;21;dr
wikipedia-janvier;9;22;Àktivität
wikipedia-janvier;9;23;z'
wikipedia-janvier;9;24;schätza
wikipedia-janvier;9;25;.
wikipedia-janvier;10;1;S
wikipedia-janvier;10;2;Àtomkràftwark
wikipedia-janvier;10;3;hàt
wikipedia-janvier;10;4;zwei
wikipedia-janvier;10;5;Druckwàsserreàktora
wikipedia-janvier;10;6;,
wikipedia-janvier;10;7;wo
wikipedia-janvier;10;8;jeder
wikipedia-janvier;10;9;a
wikipedia-janvier;10;10;Leischtung
wikipedia-janvier;10;11;vu
wikipedia-janvier;10;12;880
wikipedia-janvier;10;13;MW
wikipedia-janvier;10;14;produziara
wikipedia-janvier;10;15;kààt
wikipedia-janvier;10;16;.
wikipedia-janvier;11;1;Sa
wikipedia-janvier;11;2;wara
wikipedia-janvier;11;3;dur
wikipedia-janvier;11;4;dr
wikipedia-janvier;11;5;groß
wikipedia-janvier;11;6;Kànàl
wikipedia-janvier;11;7;vum
wikipedia-janvier;11;8;Elsàss
wikipedia-janvier;11;9;àbkiahlt
wikipedia-janvier;11;10;.
wikipedia-janvier;12;1;Dr
wikipedia-janvier;12;2;Container
wikipedia-janvier;12;3;vun'ma
wikipedia-janvier;12;4;Reàktor
wikipedia-janvier;12;5;ìsch
wikipedia-janvier;12;6;üs
wikipedia-janvier;12;7;Stàhl
wikipedia-janvier;12;8;un
wikipedia-janvier;12;9;wìegt
wikipedia-janvier;12;10;ungfahr
wikipedia-janvier;12;11;160
wikipedia-janvier;12;12;Tonna
wikipedia-janvier;12;13;.
wikipedia-janvier;13;1;Ìn
wikipedia-janvier;13;2;so'ma
wikipedia-janvier;13;3;Container
wikipedia-janvier;13;4;sìn
wikipedia-janvier;13;5;60
wikipedia-janvier;13;6;Tonna
wikipedia-janvier;13;7;Karnbrennstoff
wikipedia-janvier;13;8;(
wikipedia-janvier;13;9;Uràn
wikipedia-janvier;13;10;)
wikipedia-janvier;13;11;.
wikipedia-janvier;14;1;Dr
wikipedia-janvier;14;2;Boda
wikipedia-janvier;14;3;unter'ma
wikipedia-janvier;14;4;Reàktor
wikipedia-janvier;14;5;ìsch
wikipedia-janvier;14;6;1
wikipedia-janvier;14;7;Meter
wikipedia-janvier;14;8;dìck
wikipedia-janvier;14;9;.
wikipedia-janvier;15;1;D
wikipedia-janvier;15;2;Gegend
wikipedia-janvier;15;3;vu
wikipedia-janvier;15;4;Fassena
wikipedia-janvier;15;5;lìegt
wikipedia-janvier;15;6;uf
wikipedia-janvier;15;7;dr
wikipedia-janvier;15;8;owerrhinischa
wikipedia-janvier;15;9;Tiafewena
wikipedia-janvier;15;10;,
wikipedia-janvier;15;11;wo
wikipedia-janvier;15;12;bekànnt
wikipedia-janvier;15;13;ìsch
wikipedia-janvier;15;14;fer
wikipedia-janvier;15;15;ìhra
wikipedia-janvier;15;16;Ardbewa-Gfohr
wikipedia-janvier;15;17;.
wikipedia-janvier;16;1;Ànna
wikipedia-janvier;16;2;1356
wikipedia-janvier;16;3;hàt
wikipedia-janvier;16;4;a
wikipedia-janvier;16;5;groß
wikipedia-janvier;16;6;Ardbewa
wikipedia-janvier;16;7;d
wikipedia-janvier;16;8;Stàdt
wikipedia-janvier;16;9;Bàsel
wikipedia-janvier;16;10;zersteert
wikipedia-janvier;16;11;.
wikipedia-janvier;17;1;Dàs
wikipedia-janvier;17;2;Bàsler
wikipedia-janvier;17;3;Ardbewa
wikipedia-janvier;17;4;ìsch
wikipedia-janvier;17;5;ewa
wikipedia-janvier;17;6;àls
wikipedia-janvier;17;7;Referanz
wikipedia-janvier;17;8;gnumma
wikipedia-janvier;17;9;worra
wikipedia-janvier;17;10;,
wikipedia-janvier;17;11;fer
wikipedia-janvier;17;12;d
wikipedia-janvier;17;13;Àtomkràft
wikipedia-janvier;17;14;z'
wikipedia-janvier;17;15;Fassena
wikipedia-janvier;17;16;z'
wikipedia-janvier;17;17;bàuia
wikipedia-janvier;17;18;:
wikipedia-janvier;17;19;noh
wikipedia-janvier;17;20;da
wikipedia-janvier;17;21;Sìcherheitsnorma
wikipedia-janvier;17;22;ìsch
wikipedia-janvier;17;23;vorgsah
wikipedia-janvier;17;24;àss
wikipedia-janvier;17;25;s
wikipedia-janvier;17;26;Kràftwark
wikipedia-janvier;17;27;a
wikipedia-janvier;17;28;Ardbewa
wikipedia-janvier;17;29;vu
wikipedia-janvier;17;30;dara
wikipedia-janvier;17;31;Stärka
wikipedia-janvier;17;32;kännt
wikipedia-janvier;17;33;üshàlta
wikipedia-janvier;17;34;.
wikipedia-janvier;18;1;Dr
wikipedia-janvier;18;2;Kànàl
wikipedia-janvier;18;3;dernawa
wikipedia-janvier;18;4;hìlft
wikipedia-janvier;18;5;ìn
wikipedia-janvier;18;6;dr
wikipedia-janvier;18;7;Àbkiahlung
wikipedia-janvier;18;8;vu
wikipedia-janvier;18;9;da
wikipedia-janvier;18;10;Reàktora
wikipedia-janvier;18;11;.
wikipedia-janvier;19;1;Dur
wikipedia-janvier;19;2;dàs
wikipedia-janvier;19;3;wìrd
wikipedia-janvier;19;4;s
wikipedia-janvier;19;5;Wàsser
wikipedia-janvier;19;6;vum
wikipedia-janvier;19;7;Kànàl
wikipedia-janvier;19;8;a
wikipedia-janvier;19;9;bìtsi
wikipedia-janvier;19;10;wärmer
wikipedia-janvier;19;11;:
wikipedia-janvier;19;12;ungfahr
wikipedia-janvier;19;13;0,7
wikipedia-janvier;19;14;°
wikipedia-janvier;19;15;C
wikipedia-janvier;19;16;(
wikipedia-janvier;19;17;durschnìttlig
wikipedia-janvier;19;18;)
wikipedia-janvier;19;19;.
wikipedia-janvier;20;1;Ìn
wikipedia-janvier;20;2;dara
wikipedia-janvier;20;3;Gegend
wikipedia-janvier;20;4;ìsch
wikipedia-janvier;20;5;d
wikipedia-janvier;20;6;""""
wikipedia-janvier;20;7;Hàrdt
wikipedia-janvier;20;8;""""
wikipedia-janvier;20;9;,
wikipedia-janvier;20;10;a
wikipedia-janvier;20;11;Wàld
wikipedia-janvier;20;12;mìt
wikipedia-janvier;20;13;kìesigem
wikipedia-janvier;20;14;Boda
wikipedia-janvier;20;15;wo
wikipedia-janvier;20;16;fer
wikipedia-janvier;20;17;d
wikipedia-janvier;20;18;Làndwìrtschàft
wikipedia-janvier;20;19;nìt
wikipedia-janvier;20;20;geignet
wikipedia-janvier;20;21;ìsch
wikipedia-janvier;20;22;(
wikipedia-janvier;20;23;üsser
wikipedia-janvier;20;24;fer
wikipedia-janvier;20;25;Spàrgla
wikipedia-janvier;20;26;)
wikipedia-janvier;20;27;.
wikipedia-janvier;21;1;Àlso
wikipedia-janvier;21;2;ìsch
wikipedia-janvier;21;3;do
wikipedia-janvier;21;4;a
wikipedia-janvier;21;5;ìnduschtriella
wikipedia-janvier;21;6;Entwìcklung
wikipedia-janvier;21;7;vu
wikipedia-janvier;21;8;da
wikipedia-janvier;21;9;Iwohner
wikipedia-janvier;21;10;zìmlig
wikipedia-janvier;21;11;güet
wikipedia-janvier;21;12;ààgsah
wikipedia-janvier;21;13;gsìì
wikipedia-janvier;21;14;.
wikipedia-janvier;22;1;Ìm
wikipedia-janvier;22;2;Unterboda
wikipedia-janvier;22;3;vum
wikipedia-janvier;22;4;Elsàss
wikipedia-janvier;22;5;ìsch
wikipedia-janvier;22;6;a
wikipedia-janvier;22;7;sehr
wikipedia-janvier;22;8;großa
wikipedia-janvier;22;9;Wàsserresarva
wikipedia-janvier;22;10;,
wikipedia-janvier;22;11;wo-n-a
wikipedia-janvier;22;12;wìchtiger
wikipedia-janvier;22;13;Zwack
wikipedia-janvier;22;14;fer
wikipedia-janvier;22;15;Umwaltschutz
wikipedia-janvier;22;16;ìsch
wikipedia-janvier;22;17;.
wikipedia-janvier;23;1;Ànna
wikipedia-janvier;23;2;2000
wikipedia-janvier;23;3;ìsch
wikipedia-janvier;23;4;a
wikipedia-janvier;23;5;Problem
wikipedia-janvier;23;6;ìn
wikipedia-janvier;23;7;dr
wikipedia-janvier;23;8;Harstellung
wikipedia-janvier;23;9;vu
wikipedia-janvier;23;10;da
wikipedia-janvier;23;11;Wàsserbehàlter
wikipedia-janvier;23;12;entdeckt
wikipedia-janvier;23;13;worra
wikipedia-janvier;23;14;.
wikipedia-janvier;24;1;Dàs
wikipedia-janvier;24;2;hàt
wikipedia-janvier;24;3;s
wikipedia-janvier;24;4;Kràftwark
wikipedia-janvier;24;5;vu
wikipedia-janvier;24;6;Fassena
wikipedia-janvier;24;7;,
wikipedia-janvier;24;8;un
wikipedia-janvier;24;9;noch
wikipedia-janvier;24;10;àndra
wikipedia-janvier;24;11;ìm
wikipedia-janvier;24;12;Frànkrìch
wikipedia-janvier;24;13;,
wikipedia-janvier;24;14;betroffa
wikipedia-janvier;24;15;.
wikipedia-janvier;25;1;Z'
wikipedia-janvier;25;2;Fassena
wikipedia-janvier;25;3;ìsch
wikipedia-janvier;25;4;d
wikipedia-janvier;25;5;notwandiga
wikipedia-janvier;25;6;Repàràtür
wikipedia-janvier;25;7;ànna
wikipedia-janvier;25;8;2002
wikipedia-janvier;25;9;gmàcht
wikipedia-janvier;25;10;worra
wikipedia-janvier;25;11;.
wikipedia-janvier;26;1;Àm
wikipedia-janvier;26;2;24.
wikipedia-janvier;26;3;Janner
wikipedia-janvier;26;4;2004
wikipedia-janvier;26;5;ìsch
wikipedia-janvier;26;6;a
wikipedia-janvier;26;7;Hàhna
wikipedia-janvier;26;8;züegmàcht
wikipedia-janvier;26;9;worra
wikipedia-janvier;26;10;,
wikipedia-janvier;26;11;wo
wikipedia-janvier;26;12;nìt
wikipedia-janvier;26;13;hatt
wikipedia-janvier;26;14;sotta
wikipedia-janvier;26;15;.
wikipedia-janvier;27;1;Sìewa
wikipedia-janvier;27;2;Àrweiter
wikipedia-janvier;27;3;han
wikipedia-janvier;27;4;sìch
wikipedia-janvier;27;5;um
wikipedia-janvier;27;6;dia
wikipedia-janvier;27;7;Steerung
wikipedia-janvier;27;8;müeßa
wikipedia-janvier;27;9;bekìmmra
wikipedia-janvier;27;10;un
wikipedia-janvier;27;11;han
wikipedia-janvier;27;12;leider
wikipedia-janvier;27;13;a
wikipedia-janvier;27;14;bìtsi
wikipedia-janvier;27;15;radioàktiva
wikipedia-janvier;27;16;Elemanta
wikipedia-janvier;27;17;igschnüüft
wikipedia-janvier;27;18;.
wikipedia-janvier;28;1;Àm
wikipedia-janvier;28;2;29.
wikipedia-janvier;28;3;Septamber
wikipedia-janvier;28;4;2005
wikipedia-janvier;28;5;,
wikipedia-janvier;28;6;wahrend
wikipedia-janvier;28;7;dr
wikipedia-janvier;28;8;Àblàdung
wikipedia-janvier;28;9;vum
wikipedia-janvier;28;10;Reàktor
wikipedia-janvier;28;11;n
wikipedia-janvier;28;12;°
wikipedia-janvier;28;13;I
wikipedia-janvier;28;14;,
wikipedia-janvier;28;15;ìsch
wikipedia-janvier;28;16;a
wikipedia-janvier;28;17;elektrischa
wikipedia-janvier;28;18;Panne
wikipedia-janvier;28;19;vorkumma
wikipedia-janvier;28;20;.
wikipedia-janvier;29;1;Mehrera
wikipedia-janvier;29;2;Àbkiahlung-Pumpa
wikipedia-janvier;29;3;un
wikipedia-janvier;29;4;Kontroll-Àppàrater
wikipedia-janvier;29;5;sìn
wikipedia-janvier;29;6;a
wikipedia-janvier;29;7;Rung
wikipedia-janvier;29;8;ohna
wikipedia-janvier;29;9;Strom
wikipedia-janvier;29;10;un
wikipedia-janvier;29;11;üsser
wikipedia-janvier;29;12;Betrìeb
wikipedia-janvier;29;13;blìewa
wikipedia-janvier;29;14;.
wikipedia-janvier;30;1;Àm
wikipedia-janvier;30;2;27.
wikipedia-janvier;30;3;Dezamber
wikipedia-janvier;30;4;2009
wikipedia-janvier;30;5;hàt
wikipedia-janvier;30;6;Pflànza-Drack
wikipedia-janvier;30;7;dr
wikipedia-janvier;30;8;Wàsser-Igàng
wikipedia-janvier;30;9;verstupft
wikipedia-janvier;30;10;.
wikipedia-janvier;31;1;Dr
wikipedia-janvier;31;2;Wàsserstrom
wikipedia-janvier;31;3;vum
wikipedia-janvier;31;4;Àbkiahlungsystem
wikipedia-janvier;31;5;ìsch
wikipedia-janvier;31;6;schwächer
wikipedia-janvier;31;7;worra
wikipedia-janvier;31;8;.
wikipedia-janvier;32;1;Dr
wikipedia-janvier;32;2;Reàktor
wikipedia-janvier;32;3;n
wikipedia-janvier;32;4;°
wikipedia-janvier;32;5;II
wikipedia-janvier;32;6;,
wikipedia-janvier;32;7;wo
wikipedia-janvier;32;8;sallamols
wikipedia-janvier;32;9;gràd
wikipedia-janvier;32;10;àm
wikipedia-janvier;32;11;Ààmàcha
wikipedia-janvier;32;12;gsìì
wikipedia-janvier;32;13;ìsch
wikipedia-janvier;32;14;,
wikipedia-janvier;32;15;ìsch
wikipedia-janvier;32;16;wagadam
wikipedia-janvier;32;17;a
wikipedia-janvier;32;18;bìtsi
wikipedia-janvier;32;19;länger
wikipedia-janvier;32;20;üsgschàlta
wikipedia-janvier;32;21;blìewa
wikipedia-janvier;32;22;.
wikipedia-janvier;33;1;Àm
wikipedia-janvier;33;2;25
wikipedia-janvier;33;3;.
wikipedia-janvier;33;4;Àwrìl
wikipedia-janvier;33;5;2012
wikipedia-janvier;33;6;,
wikipedia-janvier;33;7;hàt
wikipedia-janvier;33;8;'s
wikipedia-janvier;33;9;ìn
wikipedia-janvier;33;10;dr
wikipedia-janvier;33;11;Àgkiahlungsànlàga
wikipedia-janvier;33;12;vu'ma
wikipedia-janvier;33;13;Wachselstromgeneràtor
wikipedia-janvier;33;14;fànga-n-à
wikipedia-janvier;33;15;brenna
wikipedia-janvier;33;16;,
wikipedia-janvier;33;17;ìm
wikipedia-janvier;33;18;Teil
wikipedia-janvier;33;19;wo
wikipedia-janvier;33;20;kè
wikipedia-janvier;33;21;Ràdioàktivität
wikipedia-janvier;33;22;ìsch
wikipedia-janvier;33;23;.
wikipedia-janvier;34;1;Ebbena
wikipedia-janvier;34;2;drissig
wikipedia-janvier;34;3;Pumpié
wikipedia-janvier;34;4;un
wikipedia-janvier;34;5;zwei
wikipedia-janvier;34;6;Schàndàrma-Mànnschàfta
wikipedia-janvier;34;7;sìn
wikipedia-janvier;34;8;kumma
wikipedia-janvier;34;9;fer
wikipedia-janvier;34;10;sìch
wikipedia-janvier;34;11;um
wikipedia-janvier;34;12;da
wikipedia-janvier;34;13;Unfàll
wikipedia-janvier;34;14;z'
wikipedia-janvier;34;15;bekìmmra
wikipedia-janvier;34;16;.
wikipedia-janvier;35;1;'s
wikipedia-janvier;35;2;hàt
wikipedia-janvier;35;3;kè
wikipedia-janvier;35;4;Schàda
wikipedia-janvier;35;5;gaa
wikipedia-janvier;35;6;.
wikipedia-janvier;36;1;Àm
wikipedia-janvier;36;2;8.
wikipedia-janvier;36;3;Mai
wikipedia-janvier;36;4;2012
wikipedia-janvier;36;5;hàt
wikipedia-janvier;36;6;dr
wikipedia-janvier;36;7;Reàktor
wikipedia-janvier;36;8;n
wikipedia-janvier;36;9;°
wikipedia-janvier;36;10;II
wikipedia-janvier;36;11;automàtisch
wikipedia-janvier;36;12;üsgschàlta
wikipedia-janvier;36;13;,
wikipedia-janvier;36;14;wahrend
wikipedia-janvier;36;15;ema
wikipedia-janvier;36;16;regelmaßiga
wikipedia-janvier;36;17;Tescht
wikipedia-janvier;36;18;wo
wikipedia-janvier;36;19;s
wikipedia-janvier;36;20;Àtomfràftwark
wikipedia-janvier;36;21;vum
wikipedia-janvier;36;22;Stromnetz
wikipedia-janvier;36;23;trennt
wikipedia-janvier;36;24;müeß
wikipedia-janvier;36;25;wara
wikipedia-janvier;36;26;.
wikipedia-janvier;37;1;Àm
