corpus_name;sentence_position;word_position;value;postag_name;confidence_score;tagger
Altweltgeier;1;1;D;DET;10;MElt
Altweltgeier;1;2;Àltwaltgaijer;ADJ;10;MElt
Altweltgeier;1;3;(;PUNCT;10;MElt
Altweltgeier;1;4;Aegypiinae;PROPN;10;MElt
Altweltgeier;1;5;,;PROPN;10;MElt
Altweltgeier;1;6;en;ADP;10;MElt
Altweltgeier;1;7;dr;DET;10;MElt
Altweltgeier;1;8;meischte;ADJ;10;MElt
Altweltgeier;1;9;àlemànnische;ADJ;10;MElt
Altweltgeier;1;10;Dialakt;NOUN;10;MElt
Altweltgeier;1;11;„;PUNCT;10;MElt
Altweltgeier;1;12;Ààsgaier;NOUN;10;MElt
Altweltgeier;1;13;“;PUNCT;10;MElt
Altweltgeier;1;14;);PUNCT;10;MElt
Altweltgeier;1;15;sen;AUX;10;MElt
Altweltgeier;1;16;e;DET;10;MElt
Altweltgeier;1;17;Unterfamilie;NOUN;10;MElt
Altweltgeier;1;18;vun;ADP;10;MElt
Altweltgeier;1;19;dr;DET;10;MElt
Altweltgeier;1;20;Habischtartige;NOUN;10;MElt
Altweltgeier;1;21;(;PUNCT;10;MElt
Altweltgeier;1;22;Accipitridae;PROPN;10;MElt
Altweltgeier;1;23;);PUNCT;10;MElt
Altweltgeier;1;24;un;CONJ;10;MElt
Altweltgeier;1;25;gheren;ADJ;10;MElt
Altweltgeier;1;26;dodemet;ADV;10;MElt
Altweltgeier;1;27;züe;PART;10;MElt
Altweltgeier;1;28;dr;DET;10;MElt
Altweltgeier;1;29;Griffveegel;PROPN;10;MElt
Altweltgeier;1;30;(;PUNCT;10;MElt
Altweltgeier;1;31;Falconiformes;PROPN;10;MElt
Altweltgeier;1;32;);PUNCT;10;MElt
Altweltgeier;1;33;.;PUNCT;10;MElt
Altweltgeier;2;1;Dia;DET;10;MElt
Altweltgeier;2;2;Gaijer;NOUN;10;MElt
Altweltgeier;2;3;senn;AUX;10;MElt
Altweltgeier;2;4;Ààsfrasser;ADV;10;MElt
Altweltgeier;2;5;wia;CONJ;10;MElt
Altweltgeier;2;6;'s;PRON;10;MElt
Altweltgeier;2;7;era;ADJ;10;MElt
Altweltgeier;2;8;Nàma;NOUN;10;MElt
Altweltgeier;2;9;(;PUNCT;10;MElt
Altweltgeier;2;10;„;PUNCT;10;MElt
Altweltgeier;2;11;Ààsgaier;CONJ;10;MElt
Altweltgeier;2;12;“;PUNCT;10;MElt
Altweltgeier;2;13;);PUNCT;10;MElt
Altweltgeier;2;14;schu;ADV;10;MElt
Altweltgeier;2;15;vorsait;VERB;10;MElt
Altweltgeier;2;16;.;PUNCT;10;MElt
Altweltgeier;3;1;Se;PRON;10;MElt
Altweltgeier;3;2;versahn;VERB;10;MElt
Altweltgeier;3;3;sech;PRON;10;MElt
Altweltgeier;3;4;hàuiptsachlig;ADV;10;MElt
Altweltgeier;3;5;nur;ADV;10;MElt
Altweltgeier;3;6;met;ADP;10;MElt
Altweltgeier;3;7;totem;ADJ;10;MElt
Altweltgeier;3;8;Veh;NOUN;10;MElt
Altweltgeier;3;9;.;PUNCT;10;MElt
Altweltgeier;4;1;Züadam;ADV;10;MElt
Altweltgeier;4;2;dàss;SCONJ;10;MElt
Altweltgeier;4;3;sa;PRON;10;MElt
Altweltgeier;4;4;n-a;ADJ;10;MElt
Altweltgeier;4;5;sehr;ADV;10;MElt
Altweltgeier;4;6;schlachter;ADJ;10;MElt
Altweltgeier;4;7;Rüaf;NOUN;10;MElt
Altweltgeier;4;8;hann;AUX;10;MElt
Altweltgeier;4;9;,;VERB;10;MElt
Altweltgeier;4;10;esch;AUX;10;MElt
Altweltgeier;4;11;dàs;PRON;10;MElt
