corpus_name;sentence_position;word_position;value;postag_name;confidence_score
wikipedia2;1;1;Johannes;PROPN;100
wikipedia2;1;2;Mentelin;PROPN;100
wikipedia2;1;3;Dr;DET;100
wikipedia2;1;4;Johannes;PROPN;100
wikipedia2;1;5;Mentelin;PROPN;100
wikipedia2;1;6;mankmol;ADV;100
wikipedia2;1;7;àui;ADV;100
wikipedia2;1;8;Mentlin;PROPN;100
wikipedia2;1;9;gnannt;VERB;100
wikipedia2;1;10;(;PUNCT;100
wikipedia2;1;11;*;SYM;100
wikipedia2;1;12;um;ADP;100
wikipedia2;1;13;1410;NUM;100
wikipedia2;1;14;z';ADP;100
wikipedia2;1;15;Schlettstàdt;PROPN;100
wikipedia2;1;16;";";PUNCT;100
wikipedia2;1;17;†;SYM;100
wikipedia2;1;18;12.;NUM;100
wikipedia2;1;19;Dezamber;NOUN;100
wikipedia2;1;20;1478;NUM;100
wikipedia2;1;21;z';ADP;100
wikipedia2;1;22;Stroßburri;PROPN;100
wikipedia2;1;23;);PUNCT;100
wikipedia2;1;24;ìsch;AUX;100
wikipedia2;1;25;ìn;ADP;100
wikipedia2;1;26;dr;DET;100
wikipedia2;1;27;Zitt;NOUN;100
wikipedia2;1;28;vu;ADP;100
wikipedia2;1;29;da;DET;100
wikipedia2;1;30;Ìnkunàwel;NOUN;100
wikipedia2;1;31;a;DET;100
wikipedia2;1;32;ditscher;ADJ;100
wikipedia2;1;33;Büechdrucker;NOUN;100
wikipedia2;1;34;un;CONJ;100
wikipedia2;1;35;Büechhàndler;NOUN;100
wikipedia2;1;36;gsìì;VERB;100
wikipedia2;1;37;.;PUNCT;100
wikipedia2;2;1;Ànna;ADP;100
wikipedia2;2;2;1466;NUM;100
wikipedia2;2;3;hàt;AUX;100
wikipedia2;2;4;'r;PRON;100
wikipedia2;2;5;d;DET;100
wikipedia2;2;6;erschta;ADJ;100
wikipedia2;2;7;druckta;ADJ;100
wikipedia2;2;8;Bibel;NOUN;100
wikipedia2;2;9;ìn;ADP;100
wikipedia2;2;10;hochditscha;ADJ;100
wikipedia2;2;11;Sproch;NOUN;100
wikipedia2;2;12;(;PUNCT;100
wikipedia2;2;13;Mentelin-Bibel;PROPN;100
wikipedia2;2;14;);PUNCT;100
wikipedia2;2;15;veräffentligt;VERB;100
wikipedia2;2;16;.;PUNCT;100
wikipedia2;3;1;Lawa;NOUN;100
wikipedia2;3;2;Dr;DET;100
wikipedia2;3;3;Johannes;PROPN;100
wikipedia2;3;4;Mentelin;PROPN;100
wikipedia2;3;5;ìsch;AUX;100
wikipedia2;3;6;ànna;ADP;100
wikipedia2;3;7;1440;NUM;100
wikipedia2;3;8;uf;ADP;100
wikipedia2;3;9;Stroßburri;PROPN;100
wikipedia2;3;10;kumma;VERB;100
wikipedia2;3;11;.;PUNCT;100
wikipedia2;4;1;Àls;CONJ;100
wikipedia2;4;2;Berüef;NOUN;100
wikipedia2;4;3;ìsch;AUX;100
wikipedia2;4;4;'r;PRON;100
wikipedia2;4;5;zeerscht;ADV;100
wikipedia2;4;6;„;PUNCT;100
wikipedia2;4;7;Guldschriiwer;NOUN;100
wikipedia2;4;8;“;PUNCT;100
wikipedia2;4;9;(;PUNCT;100
wikipedia2;4;10;Kalligraph;NOUN;100
wikipedia2;4;11;un;CONJ;100
wikipedia2;4;12;Büechschriiwer;NOUN;100
wikipedia2;4;13;);PUNCT;100
wikipedia2;4;14;gsìì;VERB;100
wikipedia2;4;15;un;CONJ;100
wikipedia2;4;16;hàt;AUX;100
wikipedia2;4;17;noochhar;ADV;100
wikipedia2;4;18;àls;CONJ;100
wikipedia2;4;19;bìschäfliger;ADJ;100
wikipedia2;4;20;Notàr;NOUN;100
wikipedia2;4;21;gschàft;VERB;100
wikipedia2;4;22;.;PUNCT;100
wikipedia2;5;1;Dr;DET;100
wikipedia2;5;2;Mentelin;PROPN;100
wikipedia2;5;3;hàt;AUX;100
wikipedia2;5;4;sina;DET;100
wikipedia2;5;5;Stroßburger;ADJ;100
wikipedia2;5;6;Druckarèi;NOUN;100
wikipedia2;5;7;àm;ADP;100
wikipedia2;5;8;And;NOUN;100
wikipedia2;5;9;vu;ADP;100
wikipedia2;5;10;da;DET;100
wikipedia2;5;11;1450;NUM;100
wikipedia2;5;12;Johra;NOUN;100
wikipedia2;5;13;grìnda;VERB;100
wikipedia2;5;14;.;PUNCT;100
wikipedia2;6;1;Ìm;ADP;100
wikipedia2;6;2;Mìttelàlter;NOUN;100
wikipedia2;6;3;hàt;AUX;100
wikipedia2;6;4;ma;PRON;100
wikipedia2;6;5;„;PUNCT;100
wikipedia2;6;6;Offizin;NOUN;100
wikipedia2;6;7;“;PUNCT;100
wikipedia2;6;8;gsajt;VERB;100
wikipedia2;6;9;fer;ADP;100
wikipedia2;6;10;a;DET;100
wikipedia2;6;11;Büechdruckarèi;NOUN;100
wikipedia2;6;12;.;PUNCT;100
wikipedia2;7;1;Ma;PRON;100
wikipedia2;7;2;weiß;VERB;100
wikipedia2;7;3;nìt;PART;100
wikipedia2;7;4;gnàui;ADV;100
wikipedia2;7;5;wo;ADV;100
wikipedia2;7;6;un;CONJ;100
