corpus_name;sentence_position;position;value
recettes;1;1;D'
recettes;1;2;grìene
recettes;1;3;Lìnse
recettes;1;4;12
recettes;1;5;Stùnde
recettes;1;6;làng
recettes;1;7;inweiche
recettes;1;8;lon
recettes;1;9;.
recettes;2;1;'s
recettes;2;2;Gemìes
recettes;2;3;ìn
recettes;2;4;kleini
recettes;2;5;Vìereck
recettes;2;6;odder
recettes;2;7;Drejeck
recettes;2;8;schniide
recettes;2;9;.
recettes;3;1;Sie
recettes;3;2;ìm
recettes;3;3;Bùtter
recettes;3;4;schwìtze
recettes;3;5;lon
recettes;3;6;,
recettes;3;7;dànn
recettes;3;8;d'
recettes;3;9;Lìnse
recettes;3;10;dezügenn
recettes;3;11;.
recettes;4;1;Ànderthàlb
recettes;4;2;sovìel
recettes;4;3;Wàsser
recettes;4;4;dezüschìtte
recettes;4;5;ùn
recettes;4;6;e
recettes;4;7;Stùnd
recettes;4;8;làng
recettes;4;9;kechle
recettes;4;10;lon
recettes;4;11;.
recettes;5;1;De
recettes;5;2;Làchs
recettes;5;3;rìschte
recettes;5;4;ùn
recettes;5;5;e
recettes;5;6;Träschel
recettes;5;7;geraicherter
recettes;5;8;Speck
recettes;5;9;ùm
recettes;5;10;jedes
recettes;5;11;Filee
recettes;5;12;rùmwìckle
recettes;5;13;.
recettes;6;1;De
recettes;6;2;Rahm
recettes;6;3;gùssàrtig
recettes;6;4;inkoche
recettes;6;5;lon
recettes;6;6;.
recettes;7;1;Mìt
recettes;7;2;Meerretti
recettes;7;3;,
recettes;7;4;Sàlz
recettes;7;5;ùn
recettes;7;6;Pfeffer
recettes;7;7;üss
recettes;7;8;de
recettes;7;9;Mìehl
recettes;7;10;ànmàche
recettes;7;11;.
recettes;8;1;D'
recettes;8;2;gespìckte
recettes;8;3;Làchsfilee
recettes;8;4;3
recettes;8;5;Minüte
recettes;8;6;làng
recettes;8;7;ànbrote
recettes;8;8;.
recettes;9;1;Ùf
recettes;9;2;e
recettes;9;3;Grìeni-Lìnse
recettes;9;4;Bett
recettes;9;5;leje
recettes;9;6;ùn
recettes;9;7;d'
recettes;9;8;Sauce
recettes;9;9;drùm
recettes;9;10;erùm
recettes;9;11;nàppìere
recettes;9;12;.
recettes;10;1;Mìteme
recettes;10;2;bìssele
recettes;10;3;Kerwelskrüt
recettes;10;4;,
recettes;10;5;Tomàte-Wìrfel
recettes;10;6;ùn
recettes;10;7;zwei
recettes;10;8;Gemìes-Strissle
recettes;10;9;denäwe
recettes;10;10;zìere
recettes;10;11;.
recettes;11;1;D'
recettes;11;2;Spàrichle
recettes;11;3;schäle
recettes;11;4;ùn
recettes;11;5;d'
recettes;11;6;grìene
recettes;11;7;Spìtze
recettes;11;8;sowie
recettes;11;9;'s
recettes;11;10;zàrte
