corpus_name;sentence_position;position;value
orthal;6;8;";"
orthal;6;9;àlso
orthal;6;10;s
orthal;6;11;gschrìwena
orthal;6;12;Elsassischa
orthal;6;13;müeß
orthal;6;14;,
orthal;6;15;wenn
orthal;6;16;meeglig
orthal;6;17;,
orthal;6;18;ìm
orthal;6;19;Ditscha
orthal;6;20;gliicha
orthal;6;21;.
orthal;7;1;So
orthal;7;2;ìsch
orthal;7;3;'s
orthal;7;4;eifàcher
orthal;7;5;zum
orthal;7;6;Lasa
orthal;7;7;,
orthal;7;8;un
orthal;7;9;kààt
orthal;7;10;ìn
orthal;7;11;da
orthal;7;12;zweischprochiga
orthal;7;13;(
orthal;7;14;Frànzeesch
orthal;7;15;/
orthal;7;16;Ditsch
orthal;7;17;)
orthal;7;18;Klàssa
orthal;7;19;unterrìchta
orthal;7;20;wara
orthal;7;21;.
orthal;8;1;Dia
orthal;8;2;Methoda
orthal;8;3;hàt
orthal;8;4;zìmlig
orthal;8;5;Erfolg
orthal;8;6;,
orthal;8;7;zum
orthal;8;8;Beispil
orthal;8;9;ìn
orthal;8;10;da
orthal;8;11;régionàla
orthal;8;12;elsassischa
orthal;8;13;Blättla
orthal;8;14;(
orthal;8;15;Zittung
orthal;8;16;„
orthal;8;17;L'ALSACE
orthal;8;18;“
orthal;8;19;,
orthal;8;20;„
orthal;8;21;Haut-Rhin
orthal;8;22;Magazine
orthal;8;23;“
orthal;8;24;)
orthal;8;25;oder
orthal;8;26;uff
orthal;8;27;zweisprochiga
orthal;8;28;Schìlder
orthal;8;29;wia
orthal;8;30;ìm
orthal;8;31;Elsassischa
orthal;8;32;Ecomusée
orthal;8;33;oder
orthal;8;34;àm
orthal;8;35;Nèiweiher-Stàuidàmm
orthal;8;36;.
orthal;9;1;S
orthal;9;2;OLCA
orthal;9;3;,
orthal;9;4;s
orthal;9;5;elsassischa
orthal;9;6;Sprochàmt
orthal;9;7;,
orthal;9;8;hàt
orthal;9;9;sa
orthal;9;10;aui
orthal;9;11;ààgnumma
orthal;9;12;.
orthal;10;1;Ànna
orthal;10;2;2003
orthal;10;3;hàt
orthal;10;4;'s
orthal;10;5;a
orthal;10;6;erschta
orthal;10;7;Version
orthal;10;8;gaa
orthal;10;9;,
orthal;10;10;wo
orthal;10;11;„
orthal;10;12;Graphal
orthal;10;13;“
orthal;10;14;gheißa
orthal;10;15;hàt
orthal;10;16;.
orthal;11;1;Zwìscha
orthal;11;2;2003
orthal;11;3;un
orthal;11;4;2008
orthal;11;5;ìsch
orthal;11;6;d
orthal;11;7;Methoda
orthal;11;8;noch
orthal;11;9;verbessert
orthal;11;10;worra
orthal;11;11;,
orthal;11;12;un
orthal;11;13;heißt
orthal;11;14;jetzt
orthal;11;15;„
orthal;11;16;Orthal
orthal;11;17;“
orthal;11;18;.
orthal;12;1;Ìn
orthal;12;2;dara
orthal;12;3;Zitt
orthal;12;4;sìn
orthal;12;5;ìm
orthal;12;6;gànza
orthal;12;7;Elsàss
orthal;12;8;ungfahr
orthal;12;9;400
orthal;12;10;„
orthal;12;11;dictées
orthal;12;12;“
orthal;12;13;gmàcht
orthal;12;14;worra
orthal;12;15;fer
orthal;12;16;ze
orthal;12;17;sah
orthal;12;18;,
orthal;12;19;wàs
orthal;12;20;geht
