corpus_name;sentence_position;position;value
Hochzit;1;1;E
Hochzit;1;2;Hochzit
Hochzit;1;3;in
Hochzit;1;4;de
Hochzit;1;5;50er
Hochzit;1;6;Johre
Hochzit;2;1;vum
Hochzit;2;2;Raymond
Hochzit;2;3;Weissenburger
Hochzit;3;1;Mir
Hochzit;3;2;schriwe
Hochzit;3;3;’s
Hochzit;3;4;Johr
Hochzit;3;5;1953.
Hochzit;3;6;Es
Hochzit;3;7;isch
Hochzit;3;8;e
Hochzit;3;9;Dienschdàà
Hochzit;3;10;im
Hochzit;3;11;April
Hochzit;3;12;.
Hochzit;4;1;E
Hochzit;4;2;gröijer
Hochzit;4;3;,
Hochzit;4;4;troschtloser
Hochzit;4;5;Dienschdàà
Hochzit;4;6;,
Hochzit;4;7;ohne
Hochzit;4;8;Wind
Hochzit;4;9;fer
Hochzit;4;10;die
Hochzit;4;11;Wolike
Hochzit;4;12;ze
Hochzit;4;13;vertriwe
Hochzit;4;14;wie
Hochzit;4;15;schunn
Hochzit;4;16;de
Hochzit;4;17;gànze
Hochzit;4;18;Morje
Hochzit;4;19;de
Hochzit;4;20;Himmel
Hochzit;4;21;bedecke
Hochzit;4;22;un
Hochzit;4;23;nit
Hochzit;4;24;ferti
Hochzit;4;25;wäre
Hochzit;4;26;mit
Hochzit;4;27;niessle
Hochzit;4;28;.
Hochzit;5;1;Fàscht
Hochzit;5;2;kennt
Hochzit;5;3;m
Hochzit;5;4;’r
Hochzit;5;5;glauwe
Hochzit;5;6;es
Hochzit;5;7;wärd
Hochzit;5;8;e
Hochzit;5;9;normàler
Hochzit;5;10;Dienschdàà
Hochzit;5;11;,
Hochzit;5;12;wenn
Hochzit;5;13;nit
Hochzit;5;14;gànz
Hochzit;5;15;àm
Hochzit;5;16;End
Hochzit;5;17;vum
Hochzit;5;18;Dorf
Hochzit;5;19;,
Hochzit;5;20;im
Hochzit;5;21;e
Hochzit;5;22;Fàchwärikhüs
Hochzit;5;23;mit
Hochzit;5;24;hellbloï
Hochzit;5;25;àng’strichene
Hochzit;5;26;Rijelwänd
Hochzit;5;27;,
Hochzit;5;28;mit
Hochzit;5;29;griene
Hochzit;5;30;Läde
Hochzit;5;31;,
Hochzit;5;32;mit
Hochzit;5;33;zwei
Hochzit;5;34;bescheidene
Hochzit;5;35;Vordächer
Hochzit;5;36;uf
Hochzit;5;37;sinere
Hochzit;5;38;Vordersit
Hochzit;5;39;un
Hochzit;5;40;mit‘eme
Hochzit;5;41;ànspruchslose
Hochzit;5;42;owere
Hochzit;5;43;Stock
Hochzit;5;44;,
Hochzit;5;45;wenn
Hochzit;5;46;nitt
Hochzit;5;47;in
Hochzit;5;48;dem
Hochzit;5;49;Hüs
Hochzit;5;50;e
Hochzit;5;51;so
Hochzit;5;52;groβi
Hochzit;5;53;Ufreijung
Hochzit;5;54;herrsche
Hochzit;5;55;dät
Hochzit;5;56;.
Hochzit;6;1;Uf
Hochzit;6;2;Hochdüre
Hochzit;6;3;laufe
Hochzit;6;4;do
Hochzit;6;5;inne
Hochzit;6;6;d’
Hochzit;6;7;Vorbereitunge
Hochzit;6;8;fer
Hochzit;6;9;d’
Hochzit;6;10;Hochzit
Hochzit;6;11;vum
Hochzit;6;12;Marikel
Hochzit;6;13;,
Hochzit;6;14;mit‘em
Hochzit;6;15;Güscht
Hochzit;6;16;,
Hochzit;6;17;e
Hochzit;6;18;Büe
Hochzit;6;19;vum
Hochzit;6;20;Dorf
Hochzit;6;21;.
Hochzit;7;1;s
Hochzit;7;2;Groβe
Hochzit;7;3;ìserne
Hochzit;7;4;Hofdor
Hochzit;7;5;steht
Hochzit;7;6;ìnlàdend
Hochzit;7;7;wit
Hochzit;7;8;offe
Hochzit;7;9;,
Hochzit;7;10;de
Hochzit;7;11;Hoft
Hochzit;7;12;isch
Hochzit;7;13;süefer
Hochzit;7;14;g’fäjt
Hochzit;7;15;,
Hochzit;7;16;de
Hochzit;7;17;Brunne
Hochzit;7;18;isch
Hochzit;7;19;frei
Hochzit;7;20;vun
Hochzit;7;21;sine
Hochzit;7;22;Eimer
